componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,257,616,423,BRC0158C,Nome não encontrado
Energia,kcal,61,145,100,BRC0158C,Nome não encontrado
Umidade,g,"83,4",200,137,BRC0158C,Nome não encontrado
Carboidrato total,g,"14,8","35,6","24,4",BRC0158C,Nome não encontrado
Carboidrato disponível,g,"12,6","30,2","20,7",BRC0158C,Nome não encontrado
Proteína,g,"1,05","2,51","1,73",BRC0158C,Nome não encontrado
Lipídios,g,"0,20","0,49","0,34",BRC0158C,Nome não encontrado
Fibra alimentar,g,"2,25","5,40","3,71",BRC0158C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Cinzas,g,"0,55","1,33","0,91",BRC0158C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,02","0,01",BRC0158C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0158C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,05","0,03",BRC0158C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Cálcio,mg,"25,2","60,4","41,5",BRC0158C,Nome não encontrado
Ferro,mg,"0,20","0,47","0,32",BRC0158C,Nome não encontrado
Sódio,mg,"3,94","9,44","6,49",BRC0158C,Nome não encontrado
Magnésio,mg,"12,0","28,8","19,8",BRC0158C,Nome não encontrado
Fósforo,mg,"20,0","48,0","33,0",BRC0158C,Nome não encontrado
Potássio,mg,199,478,329,BRC0158C,Nome não encontrado
Manganês,mg,"0,22","0,52","0,36",BRC0158C,Nome não encontrado
Zinco,mg,"0,19","0,46","0,32",BRC0158C,Nome não encontrado
Cobre,mg,"0,05","0,11","0,07",BRC0158C,Nome não encontrado
Selênio,mcg,"0,34","0,82","0,57",BRC0158C,Nome não encontrado
Vitamina A (RE),mcg,106,255,175,BRC0158C,Nome não encontrado
Vitamina A (RAE),mcg,"53,1",127,"87,7",BRC0158C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,33","0,78","0,54",BRC0158C,Nome não encontrado
Tiamina,mg,"0,05","0,13","0,09",BRC0158C,Nome não encontrado
Riboflavina,mg,"0,03","0,07","0,05",BRC0158C,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0158C,Nome não encontrado
Vitamina B6,mg,"0,03","0,07","0,05",BRC0158C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Vitamina C,mg,"32,6","78,3","53,9",BRC0158C,Nome não encontrado
Equivalente de folato,mcg,"38,4","92,3","63,4",BRC0158C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0158C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0158C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0158C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0158C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0158C,Nome não encontrado
