componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,395,237,177,395,BRC0425E,Nome não encontrado
Energia,kcal,93,56,42,93,BRC0425E,Nome não encontrado
Umidade,g,"77,0","46,2","34,7","77,0",BRC0425E,Nome não encontrado
Carboidrato total,g,"0,64","0,38","0,29","0,64",BRC0425E,Nome não encontrado
Carboidrato disponível,g,"0,12","0,07","0,05","0,12",BRC0425E,Nome não encontrado
Proteína,g,"19,2","11,5","8,64","19,2",BRC0425E,Nome não encontrado
Lipídios,g,"1,69","1,01","0,76","1,69",BRC0425E,Nome não encontrado
Fibra alimentar,g,"0,51","0,31","0,23","0,51",BRC0425E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0425E,Nome não encontrado
Cinzas,g,"1,45","0,87","0,65","1,45",BRC0425E,Nome não encontrado
Colesterol,mg,"50,2","30,1","22,6","50,2",BRC0425E,Nome não encontrado
Ácidos graxos saturados,g,"0,57","0,34","0,26","0,57",BRC0425E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,34","0,21","0,15","0,34",BRC0425E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,62","0,37","0,28","0,62",BRC0425E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00",BRC0425E,Nome não encontrado
Cálcio,mg,"27,0","16,2","12,2","27,0",BRC0425E,Nome não encontrado
Ferro,mg,"0,46","0,28","0,21","0,46",BRC0425E,Nome não encontrado
Sódio,mg,144,"86,7","65,1",144,BRC0425E,Nome não encontrado
Magnésio,mg,"26,5","15,9","11,9","26,5",BRC0425E,Nome não encontrado
Fósforo,mg,205,123,"92,5",205,BRC0425E,Nome não encontrado
Potássio,mg,360,216,162,360,BRC0425E,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,07",BRC0425E,Nome não encontrado
Zinco,mg,"0,68","0,41","0,30","0,68",BRC0425E,Nome não encontrado
Cobre,mg,"0,06","0,04","0,03","0,06",BRC0425E,Nome não encontrado
Selênio,mcg,"32,8","19,7","14,8","32,8",BRC0425E,Nome não encontrado
Vitamina A (RE),mcg,"31,4","18,8","14,1","31,4",BRC0425E,Nome não encontrado
Vitamina A (RAE),mcg,"17,7","10,6","7,97","17,7",BRC0425E,Nome não encontrado
Vitamina D,mcg,"0,61","0,37","0,27","0,61",BRC0425E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,38","0,23","0,17","0,38",BRC0425E,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01","0,03",BRC0425E,Nome não encontrado
Riboflavina,mg,"0,01","0,00","0,00","0,01",BRC0425E,Nome não encontrado
Niacina,mg,"1,09","0,66","0,49","1,09",BRC0425E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0425E,Nome não encontrado
Vitamina B12,mcg,"2,09","1,25","0,94","2,09",BRC0425E,Nome não encontrado
Vitamina C,mg,"4,07","2,44","1,83","4,07",BRC0425E,Nome não encontrado
Equivalente de folato,mcg,"14,4","8,67","6,50","14,4",BRC0425E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0425E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0425E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0425E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0425E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0425E,Nome não encontrado
