componente,unidade,Valor por 100g,Colher sopa cheia (5 g),Copo americano duplo (47 g),Copo americano pequeno (38 g),Pedaço/ Unidade/ Fatia (M) (30 g),Prato fundo (100 g),Prato raso (80 g),codigo_alimento,nome_alimento
Energia,kJ,1596,79,749,606,478,1595,1276,BRC0104A,Nome não encontrado
Energia,kcal,376,18,176,142,112,375,300,BRC0104A,Nome não encontrado
Umidade,g,"3,58","0,18","1,68","1,36","1,07","3,58","2,86",BRC0104A,Nome não encontrado
Carboidrato total,g,"86,1","4,31","40,5","32,7","25,8","86,1","68,9",BRC0104A,Nome não encontrado
Carboidrato disponível,g,"85,1","4,26","40,0","32,3","25,5","85,1","68,1",BRC0104A,Nome não encontrado
Proteína,g,"6,10","0,31","2,87","2,32","1,83","6,10","4,88",BRC0104A,Nome não encontrado
Lipídios,g,"1,00","0,05","0,47","0,38","0,30","1,00","0,80",BRC0104A,Nome não encontrado
Fibra alimentar,g,"1,00","0,05","0,47","0,38","0,30","1,00","0,80",BRC0104A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104A,Nome não encontrado
Cinzas,g,"3,20","0,16","1,50","1,22","0,96","3,20","2,56",BRC0104A,Nome não encontrado
Colesterol,mg,,,,,,,,BRC0104A,Nome não encontrado
Ácidos graxos saturados,g,"0,35","0,02","0,16","0,13","0,10","0,35","0,28",BRC0104A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,43","0,02","0,20","0,16","0,13","0,43","0,34",BRC0104A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,02","0,23","0,19","0,15","0,49","0,39",BRC0104A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,traços,traços,traços,traços,BRC0104A,Nome não encontrado
Cálcio,mg,"56,8","2,84","26,7","21,6","17,0","56,8","45,5",BRC0104A,Nome não encontrado
Ferro,mg,"3,93","0,20","1,85","1,49","1,18","3,93","3,14",BRC0104A,Nome não encontrado
Sódio,mg,408,"20,4",191,155,122,408,326,BRC0104A,Nome não encontrado
Magnésio,mg,"8,00","0,40","3,76","3,04","2,40","8,00","6,40",BRC0104A,Nome não encontrado
Fósforo,mg,"43,5","2,17","20,4","16,5","13,0","43,5","34,8",BRC0104A,Nome não encontrado
Potássio,mg,"52,0","2,60","24,4","19,7","15,6","52,0","41,6",BRC0104A,Nome não encontrado
Manganês,mg,"0,14","0,01","0,06","0,05","0,04","0,14","0,11",BRC0104A,Nome não encontrado
Zinco,mg,"8,54","0,43","4,01","3,25","2,56","8,54","6,83",BRC0104A,Nome não encontrado
Cobre,mg,"0,04","0,00","0,02","0,02","0,01","0,04","0,03",BRC0104A,Nome não encontrado
Selênio,mcg,,,,,,,,BRC0104A,Nome não encontrado
Vitamina A (RE),mcg,"46,4","2,32","21,8","17,6","13,9","46,4","37,1",BRC0104A,Nome não encontrado
Vitamina A (RAE),mcg,"23,2","1,16","10,9","8,81","6,96","23,2","18,6",BRC0104A,Nome não encontrado
Vitamina D,mcg,,,,,,,,BRC0104A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,07","0,00","0,03","0,03","0,02","0,07","0,06",BRC0104A,Nome não encontrado
Tiamina,mg,"0,73","0,04","0,34","0,28","0,22","0,73","0,59",BRC0104A,Nome não encontrado
Riboflavina,mg,"1,12","0,06","0,53","0,42","0,34","1,12","0,89",BRC0104A,Nome não encontrado
Niacina,mg,"10,2","0,51","4,80","3,88","3,06","10,2","8,16",BRC0104A,Nome não encontrado
Vitamina B6,mg,"0,79","0,04","0,37","0,30","0,24","0,79","0,63",BRC0104A,Nome não encontrado
Vitamina B12,mcg,,,,,,,,BRC0104A,Nome não encontrado
Vitamina C,mg,"14,7","0,73","6,89","5,57","4,40","14,7","11,7",BRC0104A,Nome não encontrado
Equivalente de folato,mcg,372,"18,6",174,141,111,372,297,BRC0104A,Nome não encontrado
Sal de adição,g,,,,,,,,BRC0104A,Nome não encontrado
Açúcar de adição,g,,,,,,,,BRC0104A,Nome não encontrado
Gordura de adição,g,,,,,,,,BRC0104A,Nome não encontrado
Proteína vegetal,g,"6,10","0,31","2,87","2,32","1,83","6,10","4,88",BRC0104A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",BRC0104A,Nome não encontrado
