componente,unidade,Valor por 100g,Colher sopa cheia (23 g),Colher sopa rasa (17 g),codigo_alimento,nome_alimento
Energia,kJ,1467,337,249,BRC0001A,Nome não encontrado
Energia,kcal,346,79,58,BRC0001A,Nome não encontrado
Umidade,g,"12,9","2,97","2,19",BRC0001A,Nome não encontrado
Carboidrato total,g,"79,1","18,2","13,4",BRC0001A,Nome não encontrado
Carboidrato disponível,g,"77,4","17,8","13,2",BRC0001A,Nome não encontrado
Proteína,g,"7,04","1,62","1,20",BRC0001A,Nome não encontrado
Lipídios,g,"0,50","0,12","0,09",BRC0001A,Nome não encontrado
Fibra alimentar,g,"1,68","0,39","0,29",BRC0001A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Cinzas,g,"0,48","0,11","0,08",BRC0001A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Ácidos graxos saturados,g,"0,17","0,04","0,03",BRC0001A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,17","0,04","0,03",BRC0001A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,17","0,04","0,03",BRC0001A,Nome não encontrado
Ácidos graxos trans,g,traços,traços,traços,BRC0001A,Nome não encontrado
Cálcio,mg,"4,80","1,10","0,82",BRC0001A,Nome não encontrado
Ferro,mg,"0,46","0,11","0,08",BRC0001A,Nome não encontrado
Sódio,mg,"1,12","0,26","0,19",BRC0001A,Nome não encontrado
Magnésio,mg,"29,5","6,79","5,02",BRC0001A,Nome não encontrado
Fósforo,mg,"92,8","21,3","15,8",BRC0001A,Nome não encontrado
Potássio,mg,"59,3","13,6","10,1",BRC0001A,Nome não encontrado
Manganês,mg,"1,11","0,25","0,19",BRC0001A,Nome não encontrado
Zinco,mg,"1,23","0,28","0,21",BRC0001A,Nome não encontrado
Cobre,mg,"0,13","0,03","0,02",BRC0001A,Nome não encontrado
Selênio,mcg,"1,35","0,31","0,23",BRC0001A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,02","0,01",BRC0001A,Nome não encontrado
Tiamina,mg,"0,16","0,04","0,03",BRC0001A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0001A,Nome não encontrado
Niacina,mg,"1,02","0,23","0,17",BRC0001A,Nome não encontrado
Vitamina B6,mg,"0,06","0,01","0,01",BRC0001A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Equivalente de folato,mcg,"7,88","1,81","1,34",BRC0001A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
Proteína vegetal,g,"7,04","1,62","1,20",BRC0001A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0001A,Nome não encontrado
