componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,448,BRC0285C,Nome não encontrado
Energia,kcal,107,BRC0285C,Nome não encontrado
Umidade,g,"73,0",BRC0285C,Nome não encontrado
Carboidrato total,g,"22,3",BRC0285C,Nome não encontrado
Carboidrato disponível,g,"16,3",BRC0285C,Nome não encontrado
Proteína,g,"1,18",BRC0285C,Nome não encontrado
Lipídios,g,"2,79",BRC0285C,Nome não encontrado
Fibra alimentar,g,"5,94",BRC0285C,Nome não encontrado
Álcool,g,"0,00",BRC0285C,Nome não encontrado
Cinzas,g,"0,76",BRC0285C,Nome não encontrado
Colesterol,mg,"6,42",BRC0285C,Nome não encontrado
Ácidos graxos saturados,g,"1,65",BRC0285C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66",BRC0285C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,05",BRC0285C,Nome não encontrado
Ácidos graxos trans,g,"0,09",BRC0285C,Nome não encontrado
Cálcio,mg,"36,2",BRC0285C,Nome não encontrado
Ferro,mg,"0,33",BRC0285C,Nome não encontrado
Sódio,mg,"1,47",BRC0285C,Nome não encontrado
Magnésio,mg,"26,8",BRC0285C,Nome não encontrado
Fósforo,mg,"30,0",BRC0285C,Nome não encontrado
Potássio,mg,188,BRC0285C,Nome não encontrado
Manganês,mg,"0,12",BRC0285C,Nome não encontrado
Zinco,mg,"0,15",BRC0285C,Nome não encontrado
Cobre,mg,"0,07",BRC0285C,Nome não encontrado
Selênio,mcg,"0,45",BRC0285C,Nome não encontrado
Vitamina A (RE),mcg,"31,2",BRC0285C,Nome não encontrado
Vitamina A (RAE),mcg,"30,8",BRC0285C,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0285C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10",BRC0285C,Nome não encontrado
Tiamina,mg,"0,03",BRC0285C,Nome não encontrado
Riboflavina,mg,traços,BRC0285C,Nome não encontrado
Niacina,mg,traços,BRC0285C,Nome não encontrado
Vitamina B6,mg,traços,BRC0285C,Nome não encontrado
Vitamina B12,mcg,"0,01",BRC0285C,Nome não encontrado
Vitamina C,mg,"7,39",BRC0285C,Nome não encontrado
Equivalente de folato,mcg,"0,10",BRC0285C,Nome não encontrado
Sal de adição,g,"4,50",BRC0285C,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0285C,Nome não encontrado
Gordura de adição,g,-,BRC0285C,Nome não encontrado
Proteína vegetal,g,-,BRC0285C,Nome não encontrado
Proteína animal,g,-,BRC0285C,Nome não encontrado
