componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,284,567,BRC0075H,Nome não encontrado
Energia,kcal,68,135,BRC0075H,Nome não encontrado
Umidade,g,"85,2",170,BRC0075H,Nome não encontrado
Carboidrato total,g,"7,62","15,2",BRC0075H,Nome não encontrado
Carboidrato disponível,g,"5,60","11,2",BRC0075H,Nome não encontrado
Proteína,g,"3,22","6,44",BRC0075H,Nome não encontrado
Lipídios,g,"3,18","6,35",BRC0075H,Nome não encontrado
Fibra alimentar,g,"2,02","4,05",BRC0075H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0075H,Nome não encontrado
Cinzas,g,"0,80","1,59",BRC0075H,Nome não encontrado
Colesterol,mg,"9,28","18,6",BRC0075H,Nome não encontrado
Ácidos graxos saturados,g,"1,94","3,87",BRC0075H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,93","1,87",BRC0075H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,14","0,27",BRC0075H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0075H,Nome não encontrado
Cálcio,mg,"87,4",174,BRC0075H,Nome não encontrado
Ferro,mg,"0,77","1,53",BRC0075H,Nome não encontrado
Sódio,mg,"49,2","98,4",BRC0075H,Nome não encontrado
Magnésio,mg,"33,2","66,5",BRC0075H,Nome não encontrado
Fósforo,mg,"98,9",197,BRC0075H,Nome não encontrado
Potássio,mg,184,369,BRC0075H,Nome não encontrado
Manganês,mg,"0,20","0,40",BRC0075H,Nome não encontrado
Zinco,mg,"0,63","1,26",BRC0075H,Nome não encontrado
Cobre,mg,"0,21","0,42",BRC0075H,Nome não encontrado
Selênio,mcg,"4,32","8,64",BRC0075H,Nome não encontrado
Vitamina A (RE),mcg,"37,2","74,4",BRC0075H,Nome não encontrado
Vitamina A (RAE),mcg,"36,6","73,2",BRC0075H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0075H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,12",BRC0075H,Nome não encontrado
Tiamina,mg,"0,03","0,07",BRC0075H,Nome não encontrado
Riboflavina,mg,"0,19","0,39",BRC0075H,Nome não encontrado
Niacina,mg,"1,29","2,58",BRC0075H,Nome não encontrado
Vitamina B6,mg,"0,01","0,01",BRC0075H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,56",BRC0075H,Nome não encontrado
Vitamina C,mg,traços,,BRC0075H,Nome não encontrado
Equivalente de folato,mcg,"5,49","11,0",BRC0075H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0075H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0075H,Nome não encontrado
Gordura de adição,g,-,-,BRC0075H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0075H,Nome não encontrado
Proteína animal,g,-,-,BRC0075H,Nome não encontrado
