componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,680,407,305,679,BRC0239E,Nome não encontrado
Energia,kcal,163,98,73,163,BRC0239E,Nome não encontrado
Umidade,g,"71,7","43,0","32,2","71,7",BRC0239E,Nome não encontrado
Carboidrato total,g,"0,46","0,28","0,21","0,46",BRC0239E,Nome não encontrado
Carboidrato disponível,g,"0,06","0,04","0,03","0,06",BRC0239E,Nome não encontrado
Proteína,g,"14,3","8,56","6,42","14,3",BRC0239E,Nome não encontrado
Lipídios,g,"11,5","6,92","5,19","11,5",BRC0239E,Nome não encontrado
Fibra alimentar,g,"0,40","0,24","0,18","0,40",BRC0239E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0239E,Nome não encontrado
Cinzas,g,"2,08","1,25","0,93","2,08",BRC0239E,Nome não encontrado
Colesterol,mg,"43,1","25,8","19,4","43,1",BRC0239E,Nome não encontrado
Ácidos graxos saturados,g,"4,34","2,61","1,95","4,34",BRC0239E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,15","1,89","1,42","3,15",BRC0239E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,22","1,93","1,45","3,22",BRC0239E,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,02","0,01","0,03",BRC0239E,Nome não encontrado
Cálcio,mg,"16,7","10,0","7,54","16,7",BRC0239E,Nome não encontrado
Ferro,mg,"0,31","0,18","0,14","0,31",BRC0239E,Nome não encontrado
Sódio,mg,509,305,229,509,BRC0239E,Nome não encontrado
Magnésio,mg,"22,1","13,3","9,94","22,1",BRC0239E,Nome não encontrado
Fósforo,mg,126,"75,6","56,7",126,BRC0239E,Nome não encontrado
Potássio,mg,295,177,133,295,BRC0239E,Nome não encontrado
Manganês,mg,"0,08","0,05","0,03","0,08",BRC0239E,Nome não encontrado
Zinco,mg,"0,31","0,19","0,14","0,31",BRC0239E,Nome não encontrado
Cobre,mg,"0,06","0,03","0,03","0,06",BRC0239E,Nome não encontrado
Selênio,mcg,"28,2","16,9","12,7","28,2",BRC0239E,Nome não encontrado
Vitamina A (RE),mcg,"18,3","11,0","8,24","18,3",BRC0239E,Nome não encontrado
Vitamina A (RAE),mcg,"10,2","6,13","4,60","10,2",BRC0239E,Nome não encontrado
Vitamina D,mcg,"3,75","2,25","1,69","3,75",BRC0239E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,38","0,83","0,62","1,38",BRC0239E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0239E,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,02","0,04",BRC0239E,Nome não encontrado
Niacina,mg,"0,49","0,29","0,22","0,49",BRC0239E,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0239E,Nome não encontrado
Vitamina B12,mcg,"1,82","1,09","0,82","1,82",BRC0239E,Nome não encontrado
Vitamina C,mg,"7,48","4,49","3,37","7,48",BRC0239E,Nome não encontrado
Equivalente de folato,mcg,"14,9","8,95","6,71","14,9",BRC0239E,Nome não encontrado
Sal de adição,g,"0,45","0,27","0,20","0,45",BRC0239E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0239E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0239E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0239E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0239E,Nome não encontrado
