componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,494,197,BRC0010C,Nome não encontrado
Energia,kcal,116,46,BRC0010C,Nome não encontrado
Umidade,g,"69,0","27,6",BRC0010C,Nome não encontrado
Carboidrato total,g,"28,8","11,5",BRC0010C,Nome não encontrado
Carboidrato disponível,g,"26,3","10,5",BRC0010C,Nome não encontrado
Proteína,g,"1,35","0,54",BRC0010C,Nome não encontrado
Lipídios,g,"0,11","0,04",BRC0010C,Nome não encontrado
Fibra alimentar,g,"2,46","0,98",BRC0010C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0010C,Nome não encontrado
Cinzas,g,"0,76","0,30",BRC0010C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0010C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,BRC0010C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,BRC0010C,Nome não encontrado
Ácidos graxos poliinsaturados,g,traços,traços,BRC0010C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0010C,Nome não encontrado
Cálcio,mg,"3,94","1,58",BRC0010C,Nome não encontrado
Ferro,mg,"0,33","0,13",BRC0010C,Nome não encontrado
Sódio,mg,traços,traços,BRC0010C,Nome não encontrado
Magnésio,mg,"30,2","12,1",BRC0010C,Nome não encontrado
Fósforo,mg,"21,7","8,67",BRC0010C,Nome não encontrado
Potássio,mg,247,"99,2",BRC0010C,Nome não encontrado
Manganês,mg,"0,09","0,04",BRC0010C,Nome não encontrado
Zinco,mg,"0,25","0,10",BRC0010C,Nome não encontrado
Cobre,mg,"0,07","0,03",BRC0010C,Nome não encontrado
Selênio,mcg,"0,00","0,00",BRC0010C,Nome não encontrado
Vitamina A (RE),mcg,"49,8","19,9",BRC0010C,Nome não encontrado
Vitamina A (RAE),mcg,"24,9","9,97",BRC0010C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0010C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,01",BRC0010C,Nome não encontrado
Tiamina,mg,traços,traços,BRC0010C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0010C,Nome não encontrado
Niacina,mg,traços,traços,BRC0010C,Nome não encontrado
Vitamina B6,mg,"0,14","0,06",BRC0010C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0010C,Nome não encontrado
Vitamina C,mg,"7,35","2,94",BRC0010C,Nome não encontrado
Equivalente de folato,mcg,"24,7","9,87",BRC0010C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0010C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0010C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0010C,Nome não encontrado
Proteína vegetal,g,"1,35","0,54",BRC0010C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0010C,Nome não encontrado
