componente,unidade,Valor por 100g,Colher café rasa (1 g),Colher chá rasa (2 g),Colher sobremesa rasa (5 g),Colher sopa rasa (8 g),codigo_alimento,nome_alimento
Energia,kJ,3694,36,73,184,295,BRC0055D,Nome não encontrado
Energia,kcal,899,8,17,44,71,BRC0055D,Nome não encontrado
Umidade,g,"0,12","0,00","0,00","0,01","0,01",BRC0055D,Nome não encontrado
Carboidrato total,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Proteína,g,"0,11","0,00","0,00","0,01","0,01",BRC0055D,Nome não encontrado
Lipídios,g,"99,8","1,00","2,00","4,99","7,98",BRC0055D,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Cinzas,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Ácidos graxos saturados,g,"8,98","0,09","0,18","0,45","0,72",BRC0055D,Nome não encontrado
Ácidos graxos monoinsaturados,g,"18,3","0,18","0,37","0,92","1,47",BRC0055D,Nome não encontrado
Ácidos graxos poliinsaturados,g,"67,8","0,68","1,36","3,39","5,43",BRC0055D,Nome não encontrado
Ácidos graxos trans,g,,,,,,BRC0055D,Nome não encontrado
Cálcio,mg,"1,00","0,01","0,02","0,05","0,08",BRC0055D,Nome não encontrado
Ferro,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Sódio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Magnésio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Fósforo,mg,"1,00","0,01","0,02","0,05","0,08",BRC0055D,Nome não encontrado
Potássio,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Manganês,mg,,,,,,BRC0055D,Nome não encontrado
Zinco,mg,"0,07","0,00","0,00","0,00","0,01",BRC0055D,Nome não encontrado
Cobre,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Selênio,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,47","0,00","0,01","0,02","0,04",BRC0055D,Nome não encontrado
Tiamina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina B6,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
Gordura de adição,g,"99,8","1,00","2,00","4,99","7,98",BRC0055D,Nome não encontrado
Proteína vegetal,g,"0,11","0,00","0,00","0,01","0,01",BRC0055D,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0055D,Nome não encontrado
