componente,unidade,Valor por 100g,Concha rasa (60 g),codigo_alimento,nome_alimento
Energia,kJ,532,319,BRC0889F,Nome não encontrado
Energia,kcal,127,75,BRC0889F,Nome não encontrado
Umidade,g,"73,2","43,9",BRC0889F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0889F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0889F,Nome não encontrado
Proteína,g,"21,5","12,9",BRC0889F,Nome não encontrado
Lipídios,g,"4,48","2,69",BRC0889F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0889F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0889F,Nome não encontrado
Cinzas,g,"0,77","0,46",BRC0889F,Nome não encontrado
Colesterol,mg,244,146,BRC0889F,Nome não encontrado
Ácidos graxos saturados,g,"2,39","1,43",BRC0889F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,39","0,84",BRC0889F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,06",BRC0889F,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08",BRC0889F,Nome não encontrado
Cálcio,mg,"13,3","7,95",BRC0889F,Nome não encontrado
Ferro,mg,"0,58","0,35",BRC0889F,Nome não encontrado
Sódio,mg,217,130,BRC0889F,Nome não encontrado
Magnésio,mg,"7,38","4,43",BRC0889F,Nome não encontrado
Fósforo,mg,"62,3","37,4",BRC0889F,Nome não encontrado
Potássio,mg,"69,5","41,7",BRC0889F,Nome não encontrado
Manganês,mg,"0,01","0,01",BRC0889F,Nome não encontrado
Zinco,mg,"2,48","1,49",BRC0889F,Nome não encontrado
Cobre,mg,"0,05","0,03",BRC0889F,Nome não encontrado
Selênio,mcg,"40,1","24,1",BRC0889F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0889F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0889F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0889F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,03",BRC0889F,Nome não encontrado
Tiamina,mg,traços,traços,BRC0889F,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0889F,Nome não encontrado
Niacina,mg,"2,17","1,30",BRC0889F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0889F,Nome não encontrado
Vitamina B12,mcg,"0,48","0,29",BRC0889F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0889F,Nome não encontrado
Equivalente de folato,mcg,"2,99","1,79",BRC0889F,Nome não encontrado
Sal de adição,g,"0,45","0,27",BRC0889F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0889F,Nome não encontrado
Gordura de adição,g,-,-,BRC0889F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0889F,Nome não encontrado
Proteína animal,g,-,-,BRC0889F,Nome não encontrado
