componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,535,267,588,481,BRC0194A,Nome não encontrado
Energia,kcal,126,63,138,113,BRC0194A,Nome não encontrado
Umidade,g,"68,7","34,4","75,6","61,8",BRC0194A,Nome não encontrado
Carboidrato total,g,"26,8","13,4","29,5","24,1",BRC0194A,Nome não encontrado
Carboidrato disponível,g,"26,0","13,0","28,6","23,4",BRC0194A,Nome não encontrado
Proteína,g,"3,61","1,81","3,97","3,25",BRC0194A,Nome não encontrado
Lipídios,g,"0,69","0,35","0,76","0,62",BRC0194A,Nome não encontrado
Fibra alimentar,g,"0,81","0,41","0,89","0,73",BRC0194A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Cinzas,g,"0,18","0,09","0,20","0,16",BRC0194A,Nome não encontrado
Colesterol,mg,"6,16","3,08","6,78","5,54",BRC0194A,Nome não encontrado
Ácidos graxos saturados,g,"0,19","0,10","0,21","0,17",BRC0194A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,13","0,07","0,14","0,12",BRC0194A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,14","0,30","0,24",BRC0194A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,04","0,04",BRC0194A,Nome não encontrado
Cálcio,mg,"6,48","3,24","7,13","5,83",BRC0194A,Nome não encontrado
Ferro,mg,"1,10","0,55","1,21","0,99",BRC0194A,Nome não encontrado
Sódio,mg,"2,57","1,29","2,83","2,31",BRC0194A,Nome não encontrado
Magnésio,mg,traços,traços,traços,traços,BRC0194A,Nome não encontrado
Fósforo,mg,"39,2","19,6","43,1","35,3",BRC0194A,Nome não encontrado
Potássio,mg,"28,1","14,1","30,9","25,3",BRC0194A,Nome não encontrado
Manganês,mg,"0,14","0,07","0,15","0,13",BRC0194A,Nome não encontrado
Zinco,mg,"0,28","0,14","0,31","0,25",BRC0194A,Nome não encontrado
Cobre,mg,"0,04","0,02","0,04","0,04",BRC0194A,Nome não encontrado
Selênio,mcg,"1,79","0,90","1,97","1,61",BRC0194A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,05","0,03","0,06","0,05",BRC0194A,Nome não encontrado
Tiamina,mg,traços,traços,traços,traços,BRC0194A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,BRC0194A,Nome não encontrado
Niacina,mg,"1,38","0,69","1,52","1,24",BRC0194A,Nome não encontrado
Vitamina B6,mg,"0,01","0,01","0,01","0,01",BRC0194A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,BRC0194A,Nome não encontrado
Equivalente de folato,mcg,"66,6","33,3","73,3","59,9",BRC0194A,Nome não encontrado
Sal de adição,g,,traços,,,BRC0194A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00",BRC0194A,Nome não encontrado
Proteína vegetal,g,,traços,,,BRC0194A,Nome não encontrado
Proteína animal,g,,traços,,,BRC0194A,Nome não encontrado
