componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,508,304,203,BRC0872B,Nome não encontrado
Energia,kcal,120,71,47,BRC0872B,Nome não encontrado
Umidade,g,"68,5","41,1","27,4",BRC0872B,Nome não encontrado
Carboidrato total,g,"29,7","17,8","11,9",BRC0872B,Nome não encontrado
Carboidrato disponível,g,"27,8","16,7","11,1",BRC0872B,Nome não encontrado
Proteína,g,"0,66","0,40","0,27",BRC0872B,Nome não encontrado
Lipídios,g,"0,25","0,15","0,10",BRC0872B,Nome não encontrado
Fibra alimentar,g,"1,82","1,09","0,73",BRC0872B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Cinzas,g,"0,91","0,55","0,37",BRC0872B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Ácidos graxos saturados,g,"0,08","0,05","0,03",BRC0872B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,08","0,05","0,03",BRC0872B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,08","0,05","0,03",BRC0872B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Cálcio,mg,"20,0","12,0","8,01",BRC0872B,Nome não encontrado
Ferro,mg,"0,11","0,06","0,04",BRC0872B,Nome não encontrado
Sódio,mg,188,113,"75,5",BRC0872B,Nome não encontrado
Magnésio,mg,"26,8","16,1","10,7",BRC0872B,Nome não encontrado
Fósforo,mg,"22,5","13,5","9,02",BRC0872B,Nome não encontrado
Potássio,mg,101,"60,9","40,6",BRC0872B,Nome não encontrado
Manganês,mg,"0,10","0,06","0,04",BRC0872B,Nome não encontrado
Zinco,mg,"0,18","0,11","0,07",BRC0872B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC0872B,Nome não encontrado
Selênio,mcg,"0,49","0,30","0,20",BRC0872B,Nome não encontrado
Vitamina A (RE),mcg,"11,9","7,15","4,77",BRC0872B,Nome não encontrado
Vitamina A (RAE),mcg,"6,01","3,61","2,41",BRC0872B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,10","0,07",BRC0872B,Nome não encontrado
Tiamina,mg,"0,06","0,04","0,02",BRC0872B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Niacina,mg,"0,01","0,00","0,00",BRC0872B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0872B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Vitamina C,mg,"11,0","6,60","4,40",BRC0872B,Nome não encontrado
Equivalente de folato,mcg,"10,7","6,44","4,29",BRC0872B,Nome não encontrado
Sal de adição,g,"0,47","0,28","0,19",BRC0872B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0872B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0872B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0872B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0872B,Nome não encontrado
