componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,719,395,287,BRC0511A,Nome não encontrado
Energia,kcal,172,94,68,BRC0511A,Nome não encontrado
Umidade,g,"65,6","36,1","26,2",BRC0511A,Nome não encontrado
Carboidrato total,g,"13,9","7,62","5,54",BRC0511A,Nome não encontrado
Carboidrato disponível,g,"12,3","6,79","4,94",BRC0511A,Nome não encontrado
Proteína,g,"11,1","6,08","4,42",BRC0511A,Nome não encontrado
Lipídios,g,"8,35","4,59","3,34",BRC0511A,Nome não encontrado
Fibra alimentar,g,"1,51","0,83","0,60",BRC0511A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0511A,Nome não encontrado
Cinzas,g,"1,16","0,64","0,47",BRC0511A,Nome não encontrado
Colesterol,mg,"33,2","18,3","13,3",BRC0511A,Nome não encontrado
Ácidos graxos saturados,g,"2,17","1,19","0,87",BRC0511A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,05","1,68","1,22",BRC0511A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,66","1,46","1,06",BRC0511A,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02",BRC0511A,Nome não encontrado
Cálcio,mg,"21,7","11,9","8,69",BRC0511A,Nome não encontrado
Ferro,mg,"0,74","0,41","0,30",BRC0511A,Nome não encontrado
Sódio,mg,241,132,"96,4",BRC0511A,Nome não encontrado
Magnésio,mg,"21,0","11,6","8,40",BRC0511A,Nome não encontrado
Fósforo,mg,"91,5","50,3","36,6",BRC0511A,Nome não encontrado
Potássio,mg,133,"73,5","53,5",BRC0511A,Nome não encontrado
Manganês,mg,"0,15","0,08","0,06",BRC0511A,Nome não encontrado
Zinco,mg,"0,95","0,52","0,38",BRC0511A,Nome não encontrado
Cobre,mg,"0,07","0,04","0,03",BRC0511A,Nome não encontrado
Selênio,mcg,"0,49","0,27","0,20",BRC0511A,Nome não encontrado
Vitamina A (RE),mcg,"12,7","6,96","5,06",BRC0511A,Nome não encontrado
Vitamina A (RAE),mcg,"7,14","3,93","2,86",BRC0511A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0511A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,52","0,29","0,21",BRC0511A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0511A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,00",BRC0511A,Nome não encontrado
Niacina,mg,"2,75","1,51","1,10",BRC0511A,Nome não encontrado
Vitamina B6,mg,"0,06","0,03","0,02",BRC0511A,Nome não encontrado
Vitamina B12,mcg,"0,17","0,09","0,07",BRC0511A,Nome não encontrado
Vitamina C,mg,"2,61","1,44","1,04",BRC0511A,Nome não encontrado
Equivalente de folato,mcg,"6,02","3,31","2,41",BRC0511A,Nome não encontrado
Sal de adição,g,"0,47","0,26","0,19",BRC0511A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0511A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0511A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0511A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0511A,Nome não encontrado
