componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,367,733,BRC0074H,Nome não encontrado
Energia,kcal,87,174,BRC0074H,Nome não encontrado
Umidade,g,"80,8",161,BRC0074H,Nome não encontrado
Carboidrato total,g,"12,9","25,8",BRC0074H,Nome não encontrado
Carboidrato disponível,g,"12,7","25,5",BRC0074H,Nome não encontrado
Proteína,g,"2,91","5,83",BRC0074H,Nome não encontrado
Lipídios,g,"2,68","5,36",BRC0074H,Nome não encontrado
Fibra alimentar,g,"0,17","0,35",BRC0074H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0074H,Nome não encontrado
Cinzas,g,"0,73","1,45",BRC0074H,Nome não encontrado
Colesterol,mg,"8,66","17,3",BRC0074H,Nome não encontrado
Ácidos graxos saturados,g,"1,64","3,28",BRC0074H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,78","1,55",BRC0074H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,24",BRC0074H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0074H,Nome não encontrado
Cálcio,mg,"88,7",177,BRC0074H,Nome não encontrado
Ferro,mg,"1,49","2,97",BRC0074H,Nome não encontrado
Sódio,mg,"47,1","94,2",BRC0074H,Nome não encontrado
Magnésio,mg,"58,8",117,BRC0074H,Nome não encontrado
Fósforo,mg,133,266,BRC0074H,Nome não encontrado
Potássio,mg,257,514,BRC0074H,Nome não encontrado
Manganês,mg,"0,01","0,02",BRC0074H,Nome não encontrado
Zinco,mg,"0,97","1,93",BRC0074H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0074H,Nome não encontrado
Selênio,mcg,"3,36","6,73",BRC0074H,Nome não encontrado
Vitamina A (RE),mcg,"34,7","69,4",BRC0074H,Nome não encontrado
Vitamina A (RAE),mcg,"34,2","68,3",BRC0074H,Nome não encontrado
Vitamina D,mcg,"0,82","1,64",BRC0074H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,11",BRC0074H,Nome não encontrado
Tiamina,mg,"0,04","0,07",BRC0074H,Nome não encontrado
Riboflavina,mg,"0,19","0,39",BRC0074H,Nome não encontrado
Niacina,mg,"1,33","2,66",BRC0074H,Nome não encontrado
Vitamina B6,mg,"0,01","0,02",BRC0074H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,52",BRC0074H,Nome não encontrado
Vitamina C,mg,traços,,BRC0074H,Nome não encontrado
Equivalente de folato,mcg,"6,90","13,8",BRC0074H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0074H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0074H,Nome não encontrado
Gordura de adição,g,-,-,BRC0074H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0074H,Nome não encontrado
Proteína animal,g,-,-,BRC0074H,Nome não encontrado
