componente,unidade,Valor por 100g,Colher servir rasa (55 g),Colher sopa cheia (38 g),codigo_alimento,nome_alimento
Energia,kJ,278,152,105,BRC0187C,Nome não encontrado
Energia,kcal,65,35,24,BRC0187C,Nome não encontrado
Umidade,g,"82,5","45,4","31,4",BRC0187C,Nome não encontrado
Carboidrato total,g,"16,0","8,80","6,08",BRC0187C,Nome não encontrado
Carboidrato disponível,g,"14,0","7,70","5,32",BRC0187C,Nome não encontrado
Proteína,g,"0,76","0,42","0,29",BRC0187C,Nome não encontrado
Lipídios,g,"0,29","0,16","0,11",BRC0187C,Nome não encontrado
Fibra alimentar,g,"2,04","1,12","0,78",BRC0187C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Cinzas,g,"0,47","0,26","0,18",BRC0187C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,06","0,04",BRC0187C,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,02","0,01",BRC0187C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,03","0,02","0,01",BRC0187C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Cálcio,mg,"14,9","8,20","5,66",BRC0187C,Nome não encontrado
Ferro,mg,"0,18","0,10","0,07",BRC0187C,Nome não encontrado
Sódio,mg,"0,91","0,50","0,35",BRC0187C,Nome não encontrado
Magnésio,mg,"18,5","10,2","7,03",BRC0187C,Nome não encontrado
Fósforo,mg,"18,8","10,3","7,14",BRC0187C,Nome não encontrado
Potássio,mg,274,150,104,BRC0187C,Nome não encontrado
Manganês,mg,"0,15","0,08","0,06",BRC0187C,Nome não encontrado
Zinco,mg,"0,09","0,05","0,03",BRC0187C,Nome não encontrado
Cobre,mg,"0,21","0,12","0,08",BRC0187C,Nome não encontrado
Selênio,mcg,"0,21","0,12","0,08",BRC0187C,Nome não encontrado
Vitamina A (RE),mcg,"37,6","20,7","14,3",BRC0187C,Nome não encontrado
Vitamina A (RAE),mcg,"18,8","10,3","7,14",BRC0187C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,31","0,17","0,12",BRC0187C,Nome não encontrado
Tiamina,mg,"0,03","0,02","0,01",BRC0187C,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01",BRC0187C,Nome não encontrado
Niacina,mg,"0,13","0,07","0,05",BRC0187C,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,02",BRC0187C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Vitamina C,mg,"35,2","19,4","13,4",BRC0187C,Nome não encontrado
Equivalente de folato,mcg,"22,9","12,6","8,70",BRC0187C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
Proteína vegetal,g,"0,76","0,42","0,29",BRC0187C,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0187C,Nome não encontrado
