componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,991,545,BRC0689N,Nome não encontrado
Energia,kcal,241,132,BRC0689N,Nome não encontrado
Umidade,g,"66,4","36,5",BRC0689N,Nome não encontrado
Carboidrato total,g,"7,56","4,16",BRC0689N,Nome não encontrado
Carboidrato disponível,g,"3,77","2,07",BRC0689N,Nome não encontrado
Proteína,g,"2,17","1,19",BRC0689N,Nome não encontrado
Lipídios,g,"23,2","12,8",BRC0689N,Nome não encontrado
Fibra alimentar,g,"3,79","2,08",BRC0689N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0689N,Nome não encontrado
Cinzas,g,"0,66","0,37",BRC0689N,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0689N,Nome não encontrado
Ácidos graxos saturados,g,"3,46","1,90",BRC0689N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"16,9","9,27",BRC0689N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,70","1,49",BRC0689N,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0689N,Nome não encontrado
Cálcio,mg,"17,2","9,47",BRC0689N,Nome não encontrado
Ferro,mg,"0,75","0,41",BRC0689N,Nome não encontrado
Sódio,mg,"40,6","22,3",BRC0689N,Nome não encontrado
Magnésio,mg,"22,6","12,4",BRC0689N,Nome não encontrado
Fósforo,mg,"45,8","25,2",BRC0689N,Nome não encontrado
Potássio,mg,204,112,BRC0689N,Nome não encontrado
Manganês,mg,"0,19","0,10",BRC0689N,Nome não encontrado
Zinco,mg,"0,76","0,42",BRC0689N,Nome não encontrado
Cobre,mg,"0,22","0,12",BRC0689N,Nome não encontrado
Selênio,mcg,"1,02","0,56",BRC0689N,Nome não encontrado
Vitamina A (RE),mcg,"11,8","6,47",BRC0689N,Nome não encontrado
Vitamina A (RAE),mcg,"5,89","3,24",BRC0689N,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0689N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"3,95","2,17",BRC0689N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0689N,Nome não encontrado
Riboflavina,mg,"0,01","0,01",BRC0689N,Nome não encontrado
Niacina,mg,traços,traços,BRC0689N,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0689N,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0689N,Nome não encontrado
Vitamina C,mg,"1,76","0,97",BRC0689N,Nome não encontrado
Equivalente de folato,mcg,"45,5","25,0",BRC0689N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0689N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0689N,Nome não encontrado
Gordura de adição,g,-,-,BRC0689N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0689N,Nome não encontrado
Proteína animal,g,-,-,BRC0689N,Nome não encontrado
