componente,unidade,Valor por 100g,Concha cheia (58 g),codigo_alimento,nome_alimento
Energia,kJ,459,266,BRC0246F,Nome não encontrado
Energia,kcal,110,63,BRC0246F,Nome não encontrado
Umidade,g,"78,4","45,5",BRC0246F,Nome não encontrado
Carboidrato total,g,"5,20","3,02",BRC0246F,Nome não encontrado
Carboidrato disponível,g,"3,25","1,89",BRC0246F,Nome não encontrado
Proteína,g,"7,67","4,45",BRC0246F,Nome não encontrado
Lipídios,g,"6,96","4,04",BRC0246F,Nome não encontrado
Fibra alimentar,g,"1,95","1,13",BRC0246F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0246F,Nome não encontrado
Cinzas,g,"1,80","1,04",BRC0246F,Nome não encontrado
Colesterol,mg,"18,1","10,5",BRC0246F,Nome não encontrado
Ácidos graxos saturados,g,"1,15","0,67",BRC0246F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,12","0,65",BRC0246F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,92","0,53",BRC0246F,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03",BRC0246F,Nome não encontrado
Cálcio,mg,"8,51","4,94",BRC0246F,Nome não encontrado
Ferro,mg,"1,61","0,93",BRC0246F,Nome não encontrado
Sódio,mg,342,198,BRC0246F,Nome não encontrado
Magnésio,mg,"12,8","7,45",BRC0246F,Nome não encontrado
Fósforo,mg,"73,7","42,8",BRC0246F,Nome não encontrado
Potássio,mg,420,243,BRC0246F,Nome não encontrado
Manganês,mg,"0,52","0,30",BRC0246F,Nome não encontrado
Zinco,mg,"1,99","1,16",BRC0246F,Nome não encontrado
Cobre,mg,"0,09","0,05",BRC0246F,Nome não encontrado
Selênio,mcg,"1,82","1,06",BRC0246F,Nome não encontrado
Vitamina A (RE),mcg,"71,1","41,2",BRC0246F,Nome não encontrado
Vitamina A (RAE),mcg,"35,9","20,8",BRC0246F,Nome não encontrado
Vitamina D,mcg,"0,02","0,01",BRC0246F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,93","1,70",BRC0246F,Nome não encontrado
Tiamina,mg,"0,03","0,02",BRC0246F,Nome não encontrado
Riboflavina,mg,"0,05","0,03",BRC0246F,Nome não encontrado
Niacina,mg,"0,97","0,56",BRC0246F,Nome não encontrado
Vitamina B6,mg,"0,06","0,04",BRC0246F,Nome não encontrado
Vitamina B12,mcg,"0,82","0,48",BRC0246F,Nome não encontrado
Vitamina C,mg,"2,48","1,44",BRC0246F,Nome não encontrado
Equivalente de folato,mcg,"11,8","6,82",BRC0246F,Nome não encontrado
Sal de adição,g,"0,50","0,29",BRC0246F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0246F,Nome não encontrado
Gordura de adição,g,-,-,BRC0246F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0246F,Nome não encontrado
Proteína animal,g,-,-,BRC0246F,Nome não encontrado
