componente,unidade,Valor por 100g,Porção Média (90 g),codigo_alimento,nome_alimento
Energia,kJ,408,367,BRC0178T,Nome não encontrado
Energia,kcal,98,87,BRC0178T,Nome não encontrado
Umidade,g,"77,1","69,3",BRC0178T,Nome não encontrado
Carboidrato total,g,"14,4","12,9",BRC0178T,Nome não encontrado
Carboidrato disponível,g,"10,7","9,62",BRC0178T,Nome não encontrado
Proteína,g,"3,93","3,54",BRC0178T,Nome não encontrado
Lipídios,g,"3,53","3,17",BRC0178T,Nome não encontrado
Fibra alimentar,g,"3,68","3,32",BRC0178T,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0178T,Nome não encontrado
Cinzas,g,"1,12","1,01",BRC0178T,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0178T,Nome não encontrado
Ácidos graxos saturados,g,"0,54","0,49",BRC0178T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,11","1,90",BRC0178T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,77","0,69",BRC0178T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0178T,Nome não encontrado
Cálcio,mg,"39,3","35,3",BRC0178T,Nome não encontrado
Ferro,mg,"1,31","1,17",BRC0178T,Nome não encontrado
Sódio,mg,"1,89","1,70",BRC0178T,Nome não encontrado
Magnésio,mg,"32,1","28,9",BRC0178T,Nome não encontrado
Fósforo,mg,"77,6","69,9",BRC0178T,Nome não encontrado
Potássio,mg,324,292,BRC0178T,Nome não encontrado
Manganês,mg,"0,74","0,66",BRC0178T,Nome não encontrado
Zinco,mg,"0,74","0,66",BRC0178T,Nome não encontrado
Cobre,mg,"0,16","0,14",BRC0178T,Nome não encontrado
Selênio,mcg,"0,10","0,09",BRC0178T,Nome não encontrado
Vitamina A (RE),mcg,"82,6","74,3",BRC0178T,Nome não encontrado
Vitamina A (RAE),mcg,"41,7","37,6",BRC0178T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0178T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,68","0,61",BRC0178T,Nome não encontrado
Tiamina,mg,"0,14","0,13",BRC0178T,Nome não encontrado
Riboflavina,mg,"0,02","0,01",BRC0178T,Nome não encontrado
Niacina,mg,"0,05","0,04",BRC0178T,Nome não encontrado
Vitamina B6,mg,"0,21","0,19",BRC0178T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0178T,Nome não encontrado
Vitamina C,mg,"9,12","8,20",BRC0178T,Nome não encontrado
Equivalente de folato,mcg,"34,8","31,3",BRC0178T,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0178T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0178T,Nome não encontrado
Gordura de adição,g,-,-,BRC0178T,Nome não encontrado
Proteína vegetal,g,-,-,BRC0178T,Nome não encontrado
Proteína animal,g,-,-,BRC0178T,Nome não encontrado
