componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,149,357,245,BRC0134C,Nome não encontrado
Energia,kcal,35,84,57,BRC0134C,Nome não encontrado
Umidade,g,"91,2",218,150,BRC0134C,Nome não encontrado
Carboidrato total,g,"8,65","20,8","14,3",BRC0134C,Nome não encontrado
Carboidrato disponível,g,"8,62","20,7","14,2",BRC0134C,Nome não encontrado
Proteína,g,"0,08","0,19","0,13",BRC0134C,Nome não encontrado
Lipídios,g,"0,02","0,04","0,03",BRC0134C,Nome não encontrado
Fibra alimentar,g,"0,03","0,07","0,05",BRC0134C,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Cinzas,g,"0,09","0,21","0,14",BRC0134C,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Ácidos graxos saturados,g,traços,traços,traços,BRC0134C,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,BRC0134C,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,01",BRC0134C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Cálcio,mg,"0,64","1,55","1,06",BRC0134C,Nome não encontrado
Ferro,mg,"0,04","0,10","0,07",BRC0134C,Nome não encontrado
Sódio,mg,"2,88","6,91","4,75",BRC0134C,Nome não encontrado
Magnésio,mg,"0,41","0,99","0,68",BRC0134C,Nome não encontrado
Fósforo,mg,"1,23","2,96","2,03",BRC0134C,Nome não encontrado
Potássio,mg,"18,3","43,9","30,2",BRC0134C,Nome não encontrado
Manganês,mg,"0,01","0,01","0,01",BRC0134C,Nome não encontrado
Zinco,mg,"0,01","0,03","0,02",BRC0134C,Nome não encontrado
Cobre,mg,"0,01","0,01","0,01",BRC0134C,Nome não encontrado
Selênio,mcg,"0,09","0,22","0,15",BRC0134C,Nome não encontrado
Vitamina A (RE),mcg,"9,60","23,0","15,8",BRC0134C,Nome não encontrado
Vitamina A (RAE),mcg,"4,80","11,5","7,92",BRC0134C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0134C,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0134C,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,01",BRC0134C,Nome não encontrado
Niacina,mg,"0,17","0,41","0,28",BRC0134C,Nome não encontrado
Vitamina B6,mg,"0,00","0,01","0,01",BRC0134C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Vitamina C,mg,"1,21","2,91","2,00",BRC0134C,Nome não encontrado
Equivalente de folato,mcg,"0,82","1,96","1,35",BRC0134C,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0134C,Nome não encontrado
Açúcar de adição,g,"5,00","12,0","8,25",BRC0134C,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0134C,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0134C,Nome não encontrado
Proteína animal,g,-,-,-,BRC0134C,Nome não encontrado
