componente,unidade,Valor por 100g,Colher servir cheia (40 g),Colher sopa cheia (20 g),codigo_alimento,nome_alimento
Energia,kJ,441,176,88,BRC0348E,Nome não encontrado
Energia,kcal,105,41,20,BRC0348E,Nome não encontrado
Umidade,g,"77,1","30,9","15,4",BRC0348E,Nome não encontrado
Carboidrato total,g,"3,27","1,31","0,65",BRC0348E,Nome não encontrado
Carboidrato disponível,g,"3,22","1,29","0,64",BRC0348E,Nome não encontrado
Proteína,g,"15,4","6,15","3,08",BRC0348E,Nome não encontrado
Lipídios,g,"3,35","1,34","0,67",BRC0348E,Nome não encontrado
Fibra alimentar,g,"0,05","0,02","0,01",BRC0348E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0348E,Nome não encontrado
Cinzas,g,"1,50","0,60","0,30",BRC0348E,Nome não encontrado
Colesterol,mg,249,"99,7","49,9",BRC0348E,Nome não encontrado
Ácidos graxos saturados,g,"1,43","0,57","0,29",BRC0348E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,77","0,31","0,15",BRC0348E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,31","0,16",BRC0348E,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,00",BRC0348E,Nome não encontrado
Cálcio,mg,"99,4","39,7","19,9",BRC0348E,Nome não encontrado
Ferro,mg,"1,90","0,76","0,38",BRC0348E,Nome não encontrado
Sódio,mg,330,132,"66,1",BRC0348E,Nome não encontrado
Magnésio,mg,"17,5","7,02","3,51",BRC0348E,Nome não encontrado
Fósforo,mg,225,"90,0","45,0",BRC0348E,Nome não encontrado
Potássio,mg,117,"47,1","23,5",BRC0348E,Nome não encontrado
Manganês,mg,"0,05","0,02","0,01",BRC0348E,Nome não encontrado
Zinco,mg,"1,06","0,42","0,21",BRC0348E,Nome não encontrado
Cobre,mg,"0,14","0,05","0,03",BRC0348E,Nome não encontrado
Selênio,mcg,"36,8","14,7","7,36",BRC0348E,Nome não encontrado
Vitamina A (RE),mcg,"19,7","7,88","3,94",BRC0348E,Nome não encontrado
Vitamina A (RAE),mcg,"19,5","7,78","3,89",BRC0348E,Nome não encontrado
Vitamina D,mcg,"0,06","0,02","0,01",BRC0348E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,40","0,56","0,28",BRC0348E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,00",BRC0348E,Nome não encontrado
Riboflavina,mg,"0,07","0,03","0,01",BRC0348E,Nome não encontrado
Niacina,mg,"1,24","0,50","0,25",BRC0348E,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0348E,Nome não encontrado
Vitamina B12,mcg,"1,33","0,53","0,27",BRC0348E,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0348E,Nome não encontrado
Equivalente de folato,mcg,"18,6","7,42","3,71",BRC0348E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0348E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0348E,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0348E,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0348E,Nome não encontrado
Proteína animal,g,-,-,-,BRC0348E,Nome não encontrado
