componente,unidade,Valor por 100g,Colher servir cheia (50 g),Colher servir rasa (25 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,488,244,122,537,439,BRC0944A,Nome não encontrado
Energia,kcal,116,58,29,127,104,BRC0944A,Nome não encontrado
Umidade,g,"73,7","36,8","18,4","81,1","66,3",BRC0944A,Nome não encontrado
Carboidrato total,g,"12,2","6,12","3,06","13,5","11,0",BRC0944A,Nome não encontrado
Carboidrato disponível,g,"10,9","5,46","2,73","12,0","9,83",BRC0944A,Nome não encontrado
Proteína,g,"9,01","4,51","2,25","9,91","8,11",BRC0944A,Nome não encontrado
Lipídios,g,"3,71","1,86","0,93","4,09","3,34",BRC0944A,Nome não encontrado
Fibra alimentar,g,"1,32","0,66","0,33","1,45","1,19",BRC0944A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0944A,Nome não encontrado
Cinzas,g,"1,14","0,57","0,29","1,26","1,03",BRC0944A,Nome não encontrado
Colesterol,mg,"20,6","10,3","5,15","22,7","18,6",BRC0944A,Nome não encontrado
Ácidos graxos saturados,g,"0,85","0,43","0,21","0,94","0,77",BRC0944A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,39","0,69","0,35","1,53","1,25",BRC0944A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,01","0,50","0,25","1,11","0,91",BRC0944A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01","0,01",BRC0944A,Nome não encontrado
Cálcio,mg,"14,6","7,31","3,65","16,1","13,1",BRC0944A,Nome não encontrado
Ferro,mg,"0,36","0,18","0,09","0,40","0,33",BRC0944A,Nome não encontrado
Sódio,mg,220,110,"55,2",242,198,BRC0944A,Nome não encontrado
Magnésio,mg,"9,45","4,72","2,36","10,4","8,50",BRC0944A,Nome não encontrado
Fósforo,mg,"72,2","36,1","18,0","79,4","64,9",BRC0944A,Nome não encontrado
Potássio,mg,134,"67,2","33,6",147,120,BRC0944A,Nome não encontrado
Manganês,mg,"0,04","0,02","0,01","0,05","0,04",BRC0944A,Nome não encontrado
Zinco,mg,"0,57","0,29","0,14","0,63","0,51",BRC0944A,Nome não encontrado
Cobre,mg,"0,07","0,03","0,02","0,08","0,06",BRC0944A,Nome não encontrado
Selênio,mcg,"4,56","2,28","1,14","5,01","4,10",BRC0944A,Nome não encontrado
Vitamina A (RE),mcg,"61,3","30,6","15,3","67,4","55,2",BRC0944A,Nome não encontrado
Vitamina A (RAE),mcg,"31,5","15,8","7,89","34,7","28,4",BRC0944A,Nome não encontrado
Vitamina D,mcg,"0,11","0,05","0,03","0,12","0,10",BRC0944A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,18","0,09","0,39","0,32",BRC0944A,Nome não encontrado
Tiamina,mg,"0,19","0,09","0,05","0,20","0,17",BRC0944A,Nome não encontrado
Riboflavina,mg,"0,04","0,02","0,01","0,04","0,03",BRC0944A,Nome não encontrado
Niacina,mg,"2,87","1,43","0,72","3,15","2,58",BRC0944A,Nome não encontrado
Vitamina B6,mg,"0,05","0,03","0,01","0,06","0,05",BRC0944A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,06","0,03","0,12","0,10",BRC0944A,Nome não encontrado
Vitamina C,mg,"9,51","4,76","2,38","10,5","8,56",BRC0944A,Nome não encontrado
Equivalente de folato,mcg,"10,1","5,03","2,52","11,1","9,06",BRC0944A,Nome não encontrado
Sal de adição,g,,traços,,,,BRC0944A,Nome não encontrado
Açúcar de adição,g,,traços,,,,BRC0944A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0944A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0944A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0944A,Nome não encontrado
