componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (45 g),Pedaço/ Unidade/ Fatia (M) (100 g),codigo_alimento,nome_alimento
Energia,kJ,670,402,301,670,BRC0398E,Nome não encontrado
Energia,kcal,161,96,72,160,BRC0398E,Nome não encontrado
Umidade,g,"71,3","42,8","32,1","71,3",BRC0398E,Nome não encontrado
Carboidrato total,g,"0,04","0,02","0,02","0,04",BRC0398E,Nome não encontrado
Carboidrato disponível,g,"0,46","0,28","0,21","0,46",BRC0398E,Nome não encontrado
Proteína,g,"17,6","10,6","7,92","17,6",BRC0398E,Nome não encontrado
Lipídios,g,"9,92","5,95","4,47","9,92",BRC0398E,Nome não encontrado
Fibra alimentar,g,"0,51","0,30","0,23","0,51",BRC0398E,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0398E,Nome não encontrado
Cinzas,g,"1,13","0,68","0,51","1,13",BRC0398E,Nome não encontrado
Colesterol,mg,"53,8","32,3","24,2","53,8",BRC0398E,Nome não encontrado
Ácidos graxos saturados,g,"1,62","0,97","0,73","1,62",BRC0398E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,72","2,23","1,67","3,72",BRC0398E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,97","2,38","1,79","3,97",BRC0398E,Nome não encontrado
Ácidos graxos trans,g,"0,04","0,02","0,02","0,04",BRC0398E,Nome não encontrado
Cálcio,mg,"19,2","11,5","8,63","19,2",BRC0398E,Nome não encontrado
Ferro,mg,"0,27","0,16","0,12","0,27",BRC0398E,Nome não encontrado
Sódio,mg,"81,4","48,8","36,6","81,4",BRC0398E,Nome não encontrado
Magnésio,mg,"23,5","14,1","10,6","23,5",BRC0398E,Nome não encontrado
Fósforo,mg,151,"90,8","68,1",151,BRC0398E,Nome não encontrado
Potássio,mg,334,200,150,334,BRC0398E,Nome não encontrado
Manganês,mg,"0,03","0,02","0,02","0,03",BRC0398E,Nome não encontrado
Zinco,mg,"0,31","0,19","0,14","0,31",BRC0398E,Nome não encontrado
Cobre,mg,"0,04","0,02","0,02","0,04",BRC0398E,Nome não encontrado
Selênio,mcg,"35,3","21,2","15,9","35,3",BRC0398E,Nome não encontrado
Vitamina A (RE),mcg,"22,9","13,7","10,3","22,9",BRC0398E,Nome não encontrado
Vitamina A (RAE),mcg,"12,8","7,66","5,74","12,8",BRC0398E,Nome não encontrado
Vitamina D,mcg,"4,68","2,81","2,11","4,68",BRC0398E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,72","1,03","0,77","1,72",BRC0398E,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,01","0,02",BRC0398E,Nome não encontrado
Riboflavina,mg,"0,05","0,03","0,02","0,05",BRC0398E,Nome não encontrado
Niacina,mg,"0,61","0,36","0,27","0,61",BRC0398E,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,01","0,02",BRC0398E,Nome não encontrado
Vitamina B12,mcg,"2,27","1,36","1,02","2,27",BRC0398E,Nome não encontrado
Vitamina C,mg,"9,35","5,61","4,21","9,35",BRC0398E,Nome não encontrado
Equivalente de folato,mcg,"15,9","9,52","7,14","15,9",BRC0398E,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0398E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0398E,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0398E,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0398E,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0398E,Nome não encontrado
