componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,104,207,BRC0089H,Nome não encontrado
Energia,kcal,24,48,BRC0089H,Nome não encontrado
Umidade,g,"93,6",187,BRC0089H,Nome não encontrado
Carboidrato total,g,"3,82","7,63",BRC0089H,Nome não encontrado
Carboidrato disponível,g,"3,82","7,63",BRC0089H,Nome não encontrado
Proteína,g,"1,83","3,65",BRC0089H,Nome não encontrado
Lipídios,g,"0,22","0,43",BRC0089H,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0089H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0089H,Nome não encontrado
Cinzas,g,"0,57","1,13",BRC0089H,Nome não encontrado
Colesterol,mg,"1,88","3,75",BRC0089H,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01",BRC0089H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,03","0,05",BRC0089H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00",BRC0089H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0089H,Nome não encontrado
Cálcio,mg,"68,9",137,BRC0089H,Nome não encontrado
Ferro,mg,"0,00","0,00",BRC0089H,Nome não encontrado
Sódio,mg,"26,2","52,5",BRC0089H,Nome não encontrado
Magnésio,mg,"9,98","20,0",BRC0089H,Nome não encontrado
Fósforo,mg,"47,7","95,4",BRC0089H,Nome não encontrado
Potássio,mg,148,296,BRC0089H,Nome não encontrado
Manganês,mg,"0,02","0,04",BRC0089H,Nome não encontrado
Zinco,mg,"0,19","0,38",BRC0089H,Nome não encontrado
Cobre,mg,"0,01","0,03",BRC0089H,Nome não encontrado
Selênio,mcg,,,BRC0089H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0089H,Nome não encontrado
Vitamina A (RAE),mcg,"4,50","9,00",BRC0089H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0089H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0089H,Nome não encontrado
Tiamina,mg,"0,03","0,05",BRC0089H,Nome não encontrado
Riboflavina,mg,"0,17","0,34",BRC0089H,Nome não encontrado
Niacina,mg,"0,85","1,69",BRC0089H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0089H,Nome não encontrado
Vitamina B12,mcg,"0,28","0,55",BRC0089H,Nome não encontrado
Vitamina C,mg,traços,,BRC0089H,Nome não encontrado
Equivalente de folato,mcg,"3,75","7,49",BRC0089H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0089H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0089H,Nome não encontrado
Gordura de adição,g,-,-,BRC0089H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0089H,Nome não encontrado
Proteína animal,g,-,-,BRC0089H,Nome não encontrado
