componente,unidade,Valor por 100g,Colher sopa cheia (18 g),codigo_alimento,nome_alimento
Energia,kJ,525,94,BRC0082F,Nome não encontrado
Energia,kcal,125,22,BRC0082F,Nome não encontrado
Umidade,g,"68,2","12,3",BRC0082F,Nome não encontrado
Carboidrato total,g,"0,00","0,00",BRC0082F,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0082F,Nome não encontrado
Proteína,g,"21,0","3,78",BRC0082F,Nome não encontrado
Lipídios,g,"4,53","0,82",BRC0082F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0082F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0082F,Nome não encontrado
Cinzas,g,"6,27","1,13",BRC0082F,Nome não encontrado
Colesterol,mg,"20,4","3,66",BRC0082F,Nome não encontrado
Ácidos graxos saturados,g,"1,93","0,35",BRC0082F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,67","0,30",BRC0082F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,01",BRC0082F,Nome não encontrado
Ácidos graxos trans,g,"0,15","0,03",BRC0082F,Nome não encontrado
Cálcio,mg,"9,20","1,66",BRC0082F,Nome não encontrado
Ferro,mg,"0,87","0,16",BRC0082F,Nome não encontrado
Sódio,mg,2893,520,BRC0082F,Nome não encontrado
Magnésio,mg,"7,97","1,43",BRC0082F,Nome não encontrado
Fósforo,mg,"65,2","11,7",BRC0082F,Nome não encontrado
Potássio,mg,123,"22,3",BRC0082F,Nome não encontrado
Manganês,mg,traços,traços,BRC0082F,Nome não encontrado
Zinco,mg,"2,38","0,43",BRC0082F,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0082F,Nome não encontrado
Selênio,mcg,,,BRC0082F,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0082F,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0082F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0082F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,41","0,43",BRC0082F,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0082F,Nome não encontrado
Riboflavina,mg,"0,05","0,01",BRC0082F,Nome não encontrado
Niacina,mg,"1,85","0,33",BRC0082F,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0082F,Nome não encontrado
Vitamina B12,mcg,"1,30","0,23",BRC0082F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0082F,Nome não encontrado
Equivalente de folato,mcg,"8,18","1,47",BRC0082F,Nome não encontrado
Sal de adição,g,,,BRC0082F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0082F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0082F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0082F,Nome não encontrado
Proteína animal,g,"19,1","3,44",BRC0082F,Nome não encontrado
