componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (5 g),codigo_alimento,nome_alimento
Energia,kJ,950,47,BRC0048L,Nome não encontrado
Energia,kcal,230,11,BRC0048L,Nome não encontrado
Umidade,g,"2,54","0,13",BRC0048L,Nome não encontrado
Carboidrato total,g,"14,9","0,74",BRC0048L,Nome não encontrado
Carboidrato disponível,g,"2,96","0,15",BRC0048L,Nome não encontrado
Proteína,g,"7,24","0,36",BRC0048L,Nome não encontrado
Lipídios,g,"18,4","0,92",BRC0048L,Nome não encontrado
Fibra alimentar,g,"11,9","0,60",BRC0048L,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0048L,Nome não encontrado
Cinzas,g,"56,9","2,85",BRC0048L,Nome não encontrado
Colesterol,mg,"1,91","0,10",BRC0048L,Nome não encontrado
Ácidos graxos saturados,g,"8,48","0,42",BRC0048L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,89","0,14",BRC0048L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,01",BRC0048L,Nome não encontrado
Ácidos graxos trans,g,"5,68","0,28",BRC0048L,Nome não encontrado
Cálcio,mg,"16,5","0,83",BRC0048L,Nome não encontrado
Ferro,mg,"0,70","0,03",BRC0048L,Nome não encontrado
Sódio,mg,22494,1124,BRC0048L,Nome não encontrado
Magnésio,mg,"12,9","0,65",BRC0048L,Nome não encontrado
Fósforo,mg,"48,5","2,42",BRC0048L,Nome não encontrado
Potássio,mg,"68,6","3,43",BRC0048L,Nome não encontrado
Manganês,mg,"0,13","0,01",BRC0048L,Nome não encontrado
Zinco,mg,"0,26","0,01",BRC0048L,Nome não encontrado
Cobre,mg,traços,traços,BRC0048L,Nome não encontrado
Selênio,mcg,"28,0","1,40",BRC0048L,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,BRC0048L,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,BRC0048L,Nome não encontrado
Vitamina D,mcg,,,BRC0048L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0048L,Nome não encontrado
Tiamina,mg,"0,05","0,00",BRC0048L,Nome não encontrado
Riboflavina,mg,"0,04","0,00",BRC0048L,Nome não encontrado
Niacina,mg,"3,61","0,18",BRC0048L,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0048L,Nome não encontrado
Vitamina B12,mcg,"0,60","0,03",BRC0048L,Nome não encontrado
Vitamina C,mg,"0,50","0,03",BRC0048L,Nome não encontrado
Equivalente de folato,mcg,"32,1","1,61",BRC0048L,Nome não encontrado
Sal de adição,g,,,BRC0048L,Nome não encontrado
Açúcar de adição,g,,,BRC0048L,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0048L,Nome não encontrado
Proteína vegetal,g,,,BRC0048L,Nome não encontrado
Proteína animal,g,,,BRC0048L,Nome não encontrado
