componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,337,67,437,BRC0681B,Nome não encontrado
Energia,kcal,81,16,104,BRC0681B,Nome não encontrado
Umidade,g,"83,3","16,7",108,BRC0681B,Nome não encontrado
Carboidrato total,g,"5,99","1,20","7,78",BRC0681B,Nome não encontrado
Carboidrato disponível,g,"4,81","0,96","6,26",BRC0681B,Nome não encontrado
Proteína,g,"4,45","0,89","5,78",BRC0681B,Nome não encontrado
Lipídios,g,"4,60","0,92","5,98",BRC0681B,Nome não encontrado
Fibra alimentar,g,"1,17","0,23","1,52",BRC0681B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0681B,Nome não encontrado
Cinzas,g,"1,64","0,33","2,13",BRC0681B,Nome não encontrado
Colesterol,mg,"9,98","2,00","13,0",BRC0681B,Nome não encontrado
Ácidos graxos saturados,g,"1,44","0,29","1,87",BRC0681B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,90","0,38","2,47",BRC0681B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,88","0,18","1,14",BRC0681B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,01",BRC0681B,Nome não encontrado
Cálcio,mg,"47,3","9,46","61,5",BRC0681B,Nome não encontrado
Ferro,mg,"0,38","0,08","0,49",BRC0681B,Nome não encontrado
Sódio,mg,159,"31,9",207,BRC0681B,Nome não encontrado
Magnésio,mg,"12,6","2,51","16,3",BRC0681B,Nome não encontrado
Fósforo,mg,"39,0","7,81","50,8",BRC0681B,Nome não encontrado
Potássio,mg,239,"48,0",311,BRC0681B,Nome não encontrado
Manganês,mg,"0,09","0,02","0,11",BRC0681B,Nome não encontrado
Zinco,mg,"0,51","0,10","0,67",BRC0681B,Nome não encontrado
Cobre,mg,"0,04","0,01","0,05",BRC0681B,Nome não encontrado
Selênio,mcg,"0,14","0,03","0,18",BRC0681B,Nome não encontrado
Vitamina A (RE),mcg,"87,1","17,4",113,BRC0681B,Nome não encontrado
Vitamina A (RAE),mcg,"43,5","8,71","56,6",BRC0681B,Nome não encontrado
Vitamina D,mcg,"0,16","0,03","0,20",BRC0681B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,06","0,39",BRC0681B,Nome não encontrado
Tiamina,mg,"0,09","0,02","0,12",BRC0681B,Nome não encontrado
Riboflavina,mg,"0,07","0,01","0,09",BRC0681B,Nome não encontrado
Niacina,mg,"0,85","0,17","1,11",BRC0681B,Nome não encontrado
Vitamina B6,mg,"0,08","0,02","0,10",BRC0681B,Nome não encontrado
Vitamina B12,mcg,"0,28","0,06","0,36",BRC0681B,Nome não encontrado
Vitamina C,mg,"8,42","1,68","10,9",BRC0681B,Nome não encontrado
Equivalente de folato,mcg,"5,60","1,12","7,28",BRC0681B,Nome não encontrado
Sal de adição,g,"0,47","0,09","0,61",BRC0681B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0681B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0681B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0681B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0681B,Nome não encontrado
