componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,58,140,96,BRC0362B,Nome não encontrado
Energia,kcal,14,33,22,BRC0362B,Nome não encontrado
Umidade,g,"95,8",229,158,BRC0362B,Nome não encontrado
Carboidrato total,g,"3,33","8,00","5,50",BRC0362B,Nome não encontrado
Carboidrato disponível,g,"2,32","5,57","3,83",BRC0362B,Nome não encontrado
Proteína,g,"0,58","1,40","0,96",BRC0362B,Nome não encontrado
Lipídios,g,"0,03","0,06","0,04",BRC0362B,Nome não encontrado
Fibra alimentar,g,"1,01","2,43","1,67",BRC0362B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Cinzas,g,"0,26","0,63","0,43",BRC0362B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,01","0,01",BRC0362B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01","0,01",BRC0362B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,01","0,02","0,02",BRC0362B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Cálcio,mg,"4,32","10,4","7,13",BRC0362B,Nome não encontrado
Ferro,mg,"0,10","0,23","0,16",BRC0362B,Nome não encontrado
Sódio,mg,"2,92","7,00","4,81",BRC0362B,Nome não encontrado
Magnésio,mg,"6,52","15,6","10,7",BRC0362B,Nome não encontrado
Fósforo,mg,"5,82","14,0","9,60",BRC0362B,Nome não encontrado
Potássio,mg,112,270,185,BRC0362B,Nome não encontrado
Manganês,mg,"0,37","0,89","0,61",BRC0362B,Nome não encontrado
Zinco,mg,"0,16","0,37","0,26",BRC0362B,Nome não encontrado
Cobre,mg,"0,02","0,06","0,04",BRC0362B,Nome não encontrado
Selênio,mcg,"0,06","0,14","0,10",BRC0362B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,01","0,01","0,01",BRC0362B,Nome não encontrado
Tiamina,mg,"0,01","0,03","0,02",BRC0362B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0362B,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0362B,Nome não encontrado
Vitamina B6,mg,"0,01","0,03","0,02",BRC0362B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Vitamina C,mg,"0,94","2,24","1,54",BRC0362B,Nome não encontrado
Equivalente de folato,mcg,"36,9","88,5","60,8",BRC0362B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0362B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0362B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0362B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0362B,Nome não encontrado
