componente,unidade,Valor por 100g,Porção Média (50 g),codigo_alimento,nome_alimento
Energia,kJ,196,98,BRC0228C,Nome não encontrado
Energia,kcal,47,23,BRC0228C,Nome não encontrado
Umidade,g,"85,5","42,8",BRC0228C,Nome não encontrado
Carboidrato total,g,"12,5","6,25",BRC0228C,Nome não encontrado
Carboidrato disponível,g,"8,00","4,00",BRC0228C,Nome não encontrado
Proteína,g,"1,00","0,50",BRC0228C,Nome não encontrado
Lipídios,g,"0,20","0,10",BRC0228C,Nome não encontrado
Fibra alimentar,g,"4,50","2,25",BRC0228C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0228C,Nome não encontrado
Cinzas,g,"0,80","0,40",BRC0228C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0228C,Nome não encontrado
Ácidos graxos saturados,g,,traços,BRC0228C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,traços,BRC0228C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,traços,BRC0228C,Nome não encontrado
Ácidos graxos trans,g,,traços,BRC0228C,Nome não encontrado
Cálcio,mg,,traços,BRC0228C,Nome não encontrado
Ferro,mg,,traços,BRC0228C,Nome não encontrado
Sódio,mg,,traços,BRC0228C,Nome não encontrado
Magnésio,mg,,traços,BRC0228C,Nome não encontrado
Fósforo,mg,,traços,BRC0228C,Nome não encontrado
Potássio,mg,,traços,BRC0228C,Nome não encontrado
Manganês,mg,,traços,BRC0228C,Nome não encontrado
Zinco,mg,,traços,BRC0228C,Nome não encontrado
Cobre,mg,,traços,BRC0228C,Nome não encontrado
Selênio,mcg,,traços,BRC0228C,Nome não encontrado
Vitamina A (RE),mcg,,traços,BRC0228C,Nome não encontrado
Vitamina A (RAE),mcg,"3,00","1,50",BRC0228C,Nome não encontrado
Vitamina D,mcg,,traços,BRC0228C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,traços,BRC0228C,Nome não encontrado
Tiamina,mg,,traços,BRC0228C,Nome não encontrado
Riboflavina,mg,,traços,BRC0228C,Nome não encontrado
Niacina,mg,,traços,BRC0228C,Nome não encontrado
Vitamina B6,mg,,traços,BRC0228C,Nome não encontrado
Vitamina B12,mcg,,traços,BRC0228C,Nome não encontrado
Vitamina C,mg,"2,13","1,07",BRC0228C,Nome não encontrado
Equivalente de folato,mcg,,traços,BRC0228C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0228C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0228C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0228C,Nome não encontrado
Proteína vegetal,g,"1,00","0,50",BRC0228C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0228C,Nome não encontrado
