componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),Prato fundo (200 g),codigo_alimento,nome_alimento
Energia,kJ,488,244,537,439,976,BRC0218A,Nome não encontrado
Energia,kcal,115,57,126,103,230,BRC0218A,Nome não encontrado
Umidade,g,"71,4","35,7","78,6","64,3",142,BRC0218A,Nome não encontrado
Carboidrato total,g,"22,9","11,5","25,2","20,7","45,9",BRC0218A,Nome não encontrado
Carboidrato disponível,g,"21,7","10,9","23,9","19,5","43,4",BRC0218A,Nome não encontrado
Proteína,g,"3,19","1,59","3,51","2,87","6,37",BRC0218A,Nome não encontrado
Lipídios,g,"1,49","0,74","1,63","1,34","2,97",BRC0218A,Nome não encontrado
Fibra alimentar,g,"1,23","0,62","1,36","1,11","2,46",BRC0218A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0218A,Nome não encontrado
Cinzas,g,"0,95","0,47","1,04","0,85","1,89",BRC0218A,Nome não encontrado
Colesterol,mg,"2,46","1,23","2,71","2,21","4,92",BRC0218A,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,14","0,31","0,25","0,56",BRC0218A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,32","0,16","0,36","0,29","0,65",BRC0218A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,78","0,39","0,86","0,70","1,57",BRC0218A,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,03","0,02","0,05",BRC0218A,Nome não encontrado
Cálcio,mg,"7,27","3,64","8,00","6,54","14,5",BRC0218A,Nome não encontrado
Ferro,mg,"0,28","0,14","0,31","0,25","0,57",BRC0218A,Nome não encontrado
Sódio,mg,268,134,295,241,536,BRC0218A,Nome não encontrado
Magnésio,mg,"3,14","1,57","3,46","2,83","6,29",BRC0218A,Nome não encontrado
Fósforo,mg,"36,4","18,2","40,0","32,8","72,8",BRC0218A,Nome não encontrado
Potássio,mg,"83,8","41,9","92,1","75,4",167,BRC0218A,Nome não encontrado
Manganês,mg,"0,15","0,07","0,16","0,13","0,30",BRC0218A,Nome não encontrado
Zinco,mg,"0,32","0,16","0,35","0,29","0,63",BRC0218A,Nome não encontrado
Cobre,mg,"0,06","0,03","0,07","0,05","0,12",BRC0218A,Nome não encontrado
Selênio,mcg,"1,50","0,75","1,65","1,35","2,99",BRC0218A,Nome não encontrado
Vitamina A (RE),mcg,"26,7","13,3","29,4","24,0","53,4",BRC0218A,Nome não encontrado
Vitamina A (RAE),mcg,"13,3","6,67","14,7","12,0","26,7",BRC0218A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0218A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,26","0,13","0,29","0,23","0,52",BRC0218A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,06","0,05","0,12",BRC0218A,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,02","0,01","0,03",BRC0218A,Nome não encontrado
Niacina,mg,"1,00","0,50","1,10","0,90","2,00",BRC0218A,Nome não encontrado
Vitamina B6,mg,"0,02","0,01","0,02","0,01","0,03",BRC0218A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0218A,Nome não encontrado
Vitamina C,mg,"3,98","1,99","4,37","3,58","7,95",BRC0218A,Nome não encontrado
Equivalente de folato,mcg,"56,7","28,4","62,4","51,0",113,BRC0218A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42","0,94",BRC0218A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0218A,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0218A,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0218A,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0218A,Nome não encontrado
