componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,1492,373,BRC0398A,Nome não encontrado
Energia,kcal,354,88,BRC0398A,Nome não encontrado
Umidade,g,"13,3","3,32",BRC0398A,Nome não encontrado
Carboidrato total,g,"64,2","16,0",BRC0398A,Nome não encontrado
Carboidrato disponível,g,"57,2","14,3",BRC0398A,Nome não encontrado
Proteína,g,"14,1","3,53",BRC0398A,Nome não encontrado
Lipídios,g,"6,07","1,52",BRC0398A,Nome não encontrado
Fibra alimentar,g,"7,00","1,75",BRC0398A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0398A,Nome não encontrado
Cinzas,g,"2,37","0,59",BRC0398A,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0398A,Nome não encontrado
Ácidos graxos saturados,g,"0,71","0,18",BRC0398A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,61","0,40",BRC0398A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,29","0,82",BRC0398A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0398A,Nome não encontrado
Cálcio,mg,"47,0","11,8",BRC0398A,Nome não encontrado
Ferro,mg,"4,57","1,14",BRC0398A,Nome não encontrado
Sódio,mg,"5,00","1,25",BRC0398A,Nome não encontrado
Magnésio,mg,197,"49,3",BRC0398A,Nome não encontrado
Fósforo,mg,457,114,BRC0398A,Nome não encontrado
Potássio,mg,563,140,BRC0398A,Nome não encontrado
Manganês,mg,"2,03","0,51",BRC0398A,Nome não encontrado
Zinco,mg,"3,10","0,78",BRC0398A,Nome não encontrado
Cobre,mg,"0,59","0,15",BRC0398A,Nome não encontrado
Selênio,mcg,"8,50","2,13",BRC0398A,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0398A,Nome não encontrado
Vitamina A (RAE),mcg,"1,00","0,25",BRC0398A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0398A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,44","0,61",BRC0398A,Nome não encontrado
Tiamina,mg,"0,36","0,09",BRC0398A,Nome não encontrado
Riboflavina,mg,"0,32","0,08",BRC0398A,Nome não encontrado
Niacina,mg,"1,52","0,38",BRC0398A,Nome não encontrado
Vitamina B6,mg,"0,49","0,12",BRC0398A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0398A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0398A,Nome não encontrado
Equivalente de folato,mcg,184,"46,0",BRC0398A,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0398A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0398A,Nome não encontrado
Gordura de adição,g,,"0,00",BRC0398A,Nome não encontrado
Proteína vegetal,g,"14,1","3,53",BRC0398A,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0398A,Nome não encontrado
