componente,unidade,Valor por 100g,Colher servir cheia (40 g),codigo_alimento,nome_alimento
Energia,kJ,1171,468,BRC0121A,Nome não encontrado
Energia,kcal,277,110,BRC0121A,Nome não encontrado
Umidade,g,"32,4","12,9",BRC0121A,Nome não encontrado
Carboidrato total,g,"51,3","20,5",BRC0121A,Nome não encontrado
Carboidrato disponível,g,"48,1","19,2",BRC0121A,Nome não encontrado
Proteína,g,"10,7","4,30",BRC0121A,Nome não encontrado
Lipídios,g,"3,93","1,57",BRC0121A,Nome não encontrado
Fibra alimentar,g,"3,25","1,30",BRC0121A,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0121A,Nome não encontrado
Cinzas,g,"1,67","0,67",BRC0121A,Nome não encontrado
Colesterol,mg,"8,13","3,25",BRC0121A,Nome não encontrado
Ácidos graxos saturados,g,"1,96","0,78",BRC0121A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,13","0,45",BRC0121A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,49","0,20",BRC0121A,Nome não encontrado
Ácidos graxos trans,g,,,BRC0121A,Nome não encontrado
Cálcio,mg,116,"46,7",BRC0121A,Nome não encontrado
Ferro,mg,"2,62","1,05",BRC0121A,Nome não encontrado
Sódio,mg,1083,433,BRC0121A,Nome não encontrado
Magnésio,mg,"53,1","21,2",BRC0121A,Nome não encontrado
Fósforo,mg,177,"70,8",BRC0121A,Nome não encontrado
Potássio,mg,821,328,BRC0121A,Nome não encontrado
Manganês,mg,"0,42","0,17",BRC0121A,Nome não encontrado
Zinco,mg,"1,28","0,51",BRC0121A,Nome não encontrado
Cobre,mg,"0,12","0,05",BRC0121A,Nome não encontrado
Selênio,mcg,,,BRC0121A,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0121A,Nome não encontrado
Vitamina A (RAE),mcg,"27,1","10,8",BRC0121A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0121A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"2,30","0,92",BRC0121A,Nome não encontrado
Tiamina,mg,"0,26","0,10",BRC0121A,Nome não encontrado
Riboflavina,mg,"0,28","0,11",BRC0121A,Nome não encontrado
Niacina,mg,"3,75","1,50",BRC0121A,Nome não encontrado
Vitamina B6,mg,"0,36","0,14",BRC0121A,Nome não encontrado
Vitamina B12,mcg,"0,11","0,04",BRC0121A,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0121A,Nome não encontrado
Equivalente de folato,mcg,"92,1","36,8",BRC0121A,Nome não encontrado
Sal de adição,g,,,BRC0121A,Nome não encontrado
Açúcar de adição,g,,,BRC0121A,Nome não encontrado
Gordura de adição,g,,,BRC0121A,Nome não encontrado
Proteína vegetal,g,,,BRC0121A,Nome não encontrado
Proteína animal,g,,,BRC0121A,Nome não encontrado
