componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1464,58,14,BRC1074B,Nome não encontrado
Energia,kcal,346,13,3,BRC1074B,Nome não encontrado
Umidade,g,"6,45","0,26","0,06",BRC1074B,Nome não encontrado
Carboidrato total,g,"72,7","2,91","0,73",BRC1074B,Nome não encontrado
Carboidrato disponível,g,"63,7","2,55","0,64",BRC1074B,Nome não encontrado
Proteína,g,"16,6","0,66","0,17",BRC1074B,Nome não encontrado
Lipídios,g,"0,73","0,03","0,01",BRC1074B,Nome não encontrado
Fibra alimentar,g,"9,00","0,36","0,09",BRC1074B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Cinzas,g,"3,54","0,14","0,04",BRC1074B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Ácidos graxos saturados,g,"0,25","0,01","0,00",BRC1074B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,12","0,00","0,00",BRC1074B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,18","0,01","0,00",BRC1074B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Cálcio,mg,"79,0","3,16","0,79",BRC1074B,Nome não encontrado
Ferro,mg,"5,65","0,23","0,06",BRC1074B,Nome não encontrado
Sódio,mg,"60,0","2,40","0,60",BRC1074B,Nome não encontrado
Magnésio,mg,"77,0","3,08","0,77",BRC1074B,Nome não encontrado
Fósforo,mg,414,"16,6","4,14",BRC1074B,Nome não encontrado
Potássio,mg,1193,"47,7","11,9",BRC1074B,Nome não encontrado
Manganês,mg,"0,98","0,04","0,01",BRC1074B,Nome não encontrado
Zinco,mg,"2,99","0,12","0,03",BRC1074B,Nome não encontrado
Cobre,mg,"0,53","0,02","0,01",BRC1074B,Nome não encontrado
Selênio,mcg,"23,9","0,96","0,24",BRC1074B,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,67","0,03","0,01",BRC1074B,Nome não encontrado
Tiamina,mg,"0,44","0,02","0,00",BRC1074B,Nome não encontrado
Riboflavina,mg,"0,14","0,01","0,00",BRC1074B,Nome não encontrado
Niacina,mg,"0,80","0,03","0,01",BRC1074B,Nome não encontrado
Vitamina B6,mg,"1,65","0,07","0,02",BRC1074B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Vitamina C,mg,"1,20","0,05","0,01",BRC1074B,Nome não encontrado
Equivalente de folato,mcg,"47,0","1,88","0,47",BRC1074B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
Proteína vegetal,g,"16,6","0,66","0,17",BRC1074B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC1074B,Nome não encontrado
