componente,unidade,Valor por 100g,Colher sopa cheia (15 g),codigo_alimento,nome_alimento
Energia,kJ,1986,297,BRC0038U,Nome não encontrado
Energia,kcal,482,72,BRC0038U,Nome não encontrado
Umidade,g,"4,70","0,71",BRC0038U,Nome não encontrado
Carboidrato total,g,"34,4","5,17",BRC0038U,Nome não encontrado
Carboidrato disponível,g,"0,00","0,00",BRC0038U,Nome não encontrado
Proteína,g,"20,4","3,06",BRC0038U,Nome não encontrado
Lipídios,g,"36,8","5,52",BRC0038U,Nome não encontrado
Fibra alimentar,g,"34,5","5,18",BRC0038U,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0038U,Nome não encontrado
Cinzas,g,"3,63","0,54",BRC0038U,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0038U,Nome não encontrado
Ácidos graxos saturados,g,"4,39","0,66",BRC0038U,Nome não encontrado
Ácidos graxos monoinsaturados,g,"8,55","1,28",BRC0038U,Nome não encontrado
Ácidos graxos poliinsaturados,g,"15,0","2,25",BRC0038U,Nome não encontrado
Ácidos graxos trans,g,"0,10","0,02",BRC0038U,Nome não encontrado
Cálcio,mg,235,"35,3",BRC0038U,Nome não encontrado
Ferro,mg,"5,91","0,89",BRC0038U,Nome não encontrado
Sódio,mg,"37,8","5,68",BRC0038U,Nome não encontrado
Magnésio,mg,380,"57,1",BRC0038U,Nome não encontrado
Fósforo,mg,568,"85,3",BRC0038U,Nome não encontrado
Potássio,mg,810,121,BRC0038U,Nome não encontrado
Manganês,mg,"2,45","0,37",BRC0038U,Nome não encontrado
Zinco,mg,"4,85","0,73",BRC0038U,Nome não encontrado
Cobre,mg,"1,37","0,21",BRC0038U,Nome não encontrado
Selênio,mcg,139,"20,9",BRC0038U,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0038U,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0038U,Nome não encontrado
Vitamina D,mcg,,,BRC0038U,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0038U,Nome não encontrado
Tiamina,mg,"0,55","0,08",BRC0038U,Nome não encontrado
Riboflavina,mg,,,BRC0038U,Nome não encontrado
Niacina,mg,"3,85","0,58",BRC0038U,Nome não encontrado
Vitamina B6,mg,"0,40","0,06",BRC0038U,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0038U,Nome não encontrado
Vitamina C,mg,,,BRC0038U,Nome não encontrado
Equivalente de folato,mcg,"41,9","6,29",BRC0038U,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0038U,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0038U,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0038U,Nome não encontrado
Proteína vegetal,g,"20,4","3,06",BRC0038U,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0038U,Nome não encontrado
