componente,unidade,Valor por 100g,Copo americano duplo (240 mL),Copo americano pequeno (165 mL),codigo_alimento,nome_alimento
Energia,kJ,176,423,291,BRC0043T,Nome não encontrado
Energia,kcal,42,100,69,BRC0043T,Nome não encontrado
Umidade,g,"90,9",218,150,BRC0043T,Nome não encontrado
Carboidrato total,g,"4,25","10,2","7,01",BRC0043T,Nome não encontrado
Carboidrato disponível,g,"4,07","9,76","6,71",BRC0043T,Nome não encontrado
Proteína,g,"2,73","6,55","4,50",BRC0043T,Nome não encontrado
Lipídios,g,"1,61","3,85","2,65",BRC0043T,Nome não encontrado
Fibra alimentar,g,"0,18","0,44","0,30",BRC0043T,Nome não encontrado
Álcool,g,,,,BRC0043T,Nome não encontrado
Cinzas,g,"0,48","1,14","0,79",BRC0043T,Nome não encontrado
Colesterol,mg,,,,BRC0043T,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,48","0,33",BRC0043T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,72","0,50",BRC0043T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","1,44","0,99",BRC0043T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,02","0,02",BRC0043T,Nome não encontrado
Cálcio,mg,"16,5","39,6","27,3",BRC0043T,Nome não encontrado
Ferro,mg,"0,43","1,04","0,72",BRC0043T,Nome não encontrado
Sódio,mg,"56,5",135,"93,3",BRC0043T,Nome não encontrado
Magnésio,mg,"15,5","37,1","25,5",BRC0043T,Nome não encontrado
Fósforo,mg,"52,9",126,"87,3",BRC0043T,Nome não encontrado
Potássio,mg,121,290,199,BRC0043T,Nome não encontrado
Manganês,mg,"0,15","0,35","0,24",BRC0043T,Nome não encontrado
Zinco,mg,"0,28","0,67","0,46",BRC0043T,Nome não encontrado
Cobre,mg,"0,08","0,20","0,14",BRC0043T,Nome não encontrado
Selênio,mcg,,,,BRC0043T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0043T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0043T,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0043T,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0043T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0043T,Nome não encontrado
Equivalente de folato,mcg,"27,3","65,5","45,1",BRC0043T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Açúcar de adição,g,,,,BRC0043T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
Proteína vegetal,g,"2,73","6,55","4,50",BRC0043T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0043T,Nome não encontrado
