componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (40 g),codigo_alimento,nome_alimento
Energia,kJ,82,32,BRC0080C,Nome não encontrado
Energia,kcal,20,7,BRC0080C,Nome não encontrado
Umidade,g,"92,1","36,8",BRC0080C,Nome não encontrado
Carboidrato total,g,"6,49","2,60",BRC0080C,Nome não encontrado
Carboidrato disponível,g,"1,42","0,57",BRC0080C,Nome não encontrado
Proteína,g,"0,89","0,35",BRC0080C,Nome não encontrado
Lipídios,g,"0,07","0,03",BRC0080C,Nome não encontrado
Fibra alimentar,g,"5,07","2,03",BRC0080C,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0080C,Nome não encontrado
Cinzas,g,"0,45","0,18",BRC0080C,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0080C,Nome não encontrado
Ácidos graxos saturados,g,,,BRC0080C,Nome não encontrado
Ácidos graxos monoinsaturados,g,,,BRC0080C,Nome não encontrado
Ácidos graxos poliinsaturados,g,,,BRC0080C,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0080C,Nome não encontrado
Cálcio,mg,"13,8","5,52",BRC0080C,Nome não encontrado
Ferro,mg,"0,14","0,05",BRC0080C,Nome não encontrado
Sódio,mg,"21,7","8,66",BRC0080C,Nome não encontrado
Magnésio,mg,"14,2","5,67",BRC0080C,Nome não encontrado
Fósforo,mg,"18,4","7,34",BRC0080C,Nome não encontrado
Potássio,mg,134,"53,9",BRC0080C,Nome não encontrado
Manganês,mg,"0,05","0,02",BRC0080C,Nome não encontrado
Zinco,mg,"0,11","0,05",BRC0080C,Nome não encontrado
Cobre,mg,"0,02","0,01",BRC0080C,Nome não encontrado
Selênio,mcg,,,BRC0080C,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0080C,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0080C,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0080C,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,BRC0080C,Nome não encontrado
Tiamina,mg,"0,08","0,03",BRC0080C,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0080C,Nome não encontrado
Niacina,mg,"1,18","0,47",BRC0080C,Nome não encontrado
Vitamina B6,mg,traços,traços,BRC0080C,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0080C,Nome não encontrado
Vitamina C,mg,"3,77","1,51",BRC0080C,Nome não encontrado
Equivalente de folato,mcg,,,BRC0080C,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0080C,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0080C,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0080C,Nome não encontrado
Proteína vegetal,g,"0,89","0,35",BRC0080C,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0080C,Nome não encontrado
