componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,119,238,BRC0073H,Nome não encontrado
Energia,kcal,28,56,BRC0073H,Nome não encontrado
Umidade,g,"93,4",186,BRC0073H,Nome não encontrado
Carboidrato total,g,"6,72","13,4",BRC0073H,Nome não encontrado
Carboidrato disponível,g,"6,24","12,5",BRC0073H,Nome não encontrado
Proteína,g,"0,14","0,29",BRC0073H,Nome não encontrado
Lipídios,g,"0,18","0,37",BRC0073H,Nome não encontrado
Fibra alimentar,g,"0,49","0,98",BRC0073H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0073H,Nome não encontrado
Cinzas,g,"0,03","0,06",BRC0073H,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0073H,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,13",BRC0073H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,03",BRC0073H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,07","0,13",BRC0073H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0073H,Nome não encontrado
Cálcio,mg,"4,29","8,57",BRC0073H,Nome não encontrado
Ferro,mg,"0,21","0,42",BRC0073H,Nome não encontrado
Sódio,mg,"1,62","3,24",BRC0073H,Nome não encontrado
Magnésio,mg,"4,46","8,92",BRC0073H,Nome não encontrado
Fósforo,mg,"2,65","5,30",BRC0073H,Nome não encontrado
Potássio,mg,"34,4","68,8",BRC0073H,Nome não encontrado
Manganês,mg,"0,15","0,29",BRC0073H,Nome não encontrado
Zinco,mg,"0,02","0,04",BRC0073H,Nome não encontrado
Cobre,mg,"0,01","0,03",BRC0073H,Nome não encontrado
Selênio,mcg,,,BRC0073H,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0073H,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0073H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0073H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00",BRC0073H,Nome não encontrado
Tiamina,mg,"0,00","0,00",BRC0073H,Nome não encontrado
Riboflavina,mg,"0,00","0,01",BRC0073H,Nome não encontrado
Niacina,mg,"0,12","0,24",BRC0073H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0073H,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0073H,Nome não encontrado
Vitamina C,mg,traços,,BRC0073H,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00",BRC0073H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0073H,Nome não encontrado
Açúcar de adição,g,"6,00","12,0",BRC0073H,Nome não encontrado
Gordura de adição,g,-,-,BRC0073H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0073H,Nome não encontrado
Proteína animal,g,-,-,BRC0073H,Nome não encontrado
