componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,547,92,60,131,76,BRC0176A,Nome não encontrado
Energia,kcal,129,21,14,31,18,BRC0176A,Nome não encontrado
Umidade,g,"65,9","11,2","7,25","15,8","9,23",BRC0176A,Nome não encontrado
Carboidrato total,g,"26,7","4,54","2,94","6,41","3,74",BRC0176A,Nome não encontrado
Carboidrato disponível,g,"23,0","3,92","2,53","5,53","3,23",BRC0176A,Nome não encontrado
Proteína,g,"6,16","1,05","0,68","1,48","0,86",BRC0176A,Nome não encontrado
Lipídios,g,"0,57","0,10","0,06","0,14","0,08",BRC0176A,Nome não encontrado
Fibra alimentar,g,"3,66","0,62","0,40","0,88","0,51",BRC0176A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Cinzas,g,"0,66","0,11","0,07","0,16","0,09",BRC0176A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,02","0,01","0,02","0,01",BRC0176A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,02","0,01","0,02","0,01",BRC0176A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,05","0,03","0,07","0,04",BRC0176A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Cálcio,mg,"1,74","0,30","0,19","0,42","0,24",BRC0176A,Nome não encontrado
Ferro,mg,"0,80","0,14","0,09","0,19","0,11",BRC0176A,Nome não encontrado
Sódio,mg,"0,78","0,13","0,09","0,19","0,11",BRC0176A,Nome não encontrado
Magnésio,mg,"15,0","2,55","1,65","3,60","2,10",BRC0176A,Nome não encontrado
Fósforo,mg,"94,8","16,1","10,4","22,8","13,3",BRC0176A,Nome não encontrado
Potássio,mg,"86,4","14,7","9,50","20,7","12,1",BRC0176A,Nome não encontrado
Manganês,mg,"0,10","0,02","0,01","0,02","0,01",BRC0176A,Nome não encontrado
Zinco,mg,"0,36","0,06","0,04","0,09","0,05",BRC0176A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,00","0,01","0,01",BRC0176A,Nome não encontrado
Selênio,mcg,"0,42","0,07","0,05","0,10","0,06",BRC0176A,Nome não encontrado
Vitamina A (RE),mcg,"34,6","5,89","3,81","8,31","4,85",BRC0176A,Nome não encontrado
Vitamina A (RAE),mcg,"17,3","2,94","1,91","4,16","2,42",BRC0176A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,01","0,00","0,01","0,00",BRC0176A,Nome não encontrado
Tiamina,mg,"0,18","0,03","0,02","0,04","0,03",BRC0176A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0176A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0176A,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,01","0,00",BRC0176A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0176A,Nome não encontrado
Equivalente de folato,mcg,"29,9","5,08","3,29","7,17","4,18",BRC0176A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
Proteína vegetal,g,"6,16","1,05","0,68","1,48","0,86",BRC0176A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0176A,Nome não encontrado
