componente,unidade,Valor por 100g,Pedaço/ Unidade/ Fatia (M) (50 g),Porção Média (100 g),codigo_alimento,nome_alimento
Energia,kJ,801,400,800,BRC0204T,Nome não encontrado
Energia,kcal,189,94,189,BRC0204T,Nome não encontrado
Umidade,g,"48,0","24,0","48,0",BRC0204T,Nome não encontrado
Carboidrato total,g,"25,0","12,5","25,0",BRC0204T,Nome não encontrado
Carboidrato disponível,g,"20,5","10,2","20,5",BRC0204T,Nome não encontrado
Proteína,g,"22,8","11,4","22,8",BRC0204T,Nome não encontrado
Lipídios,g,"0,77","0,38","0,77",BRC0204T,Nome não encontrado
Fibra alimentar,g,"4,51","2,25","4,51",BRC0204T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0204T,Nome não encontrado
Cinzas,g,"3,38","1,69","3,38",BRC0204T,Nome não encontrado
Colesterol,mg,"14,6","7,28","14,6",BRC0204T,Nome não encontrado
Ácidos graxos saturados,g,"0,28","0,14","0,28",BRC0204T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,36","0,18","0,36",BRC0204T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,60","0,30","0,60",BRC0204T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0204T,Nome não encontrado
Cálcio,mg,"54,4","27,2","54,4",BRC0204T,Nome não encontrado
Ferro,mg,"4,18","2,09","4,18",BRC0204T,Nome não encontrado
Sódio,mg,242,121,242,BRC0204T,Nome não encontrado
Magnésio,mg,"15,0","7,51","15,0",BRC0204T,Nome não encontrado
Fósforo,mg,233,116,233,BRC0204T,Nome não encontrado
Potássio,mg,"57,6","28,8","57,6",BRC0204T,Nome não encontrado
Manganês,mg,"0,14","0,07","0,14",BRC0204T,Nome não encontrado
Zinco,mg,"1,27","0,63","1,27",BRC0204T,Nome não encontrado
Cobre,mg,"0,03","0,02","0,03",BRC0204T,Nome não encontrado
Selênio,mcg,"2,84","1,42","2,84",BRC0204T,Nome não encontrado
Vitamina A (RE),mcg,"42,4","21,2","42,4",BRC0204T,Nome não encontrado
Vitamina A (RAE),mcg,"24,0","12,0","24,0",BRC0204T,Nome não encontrado
Vitamina D,mcg,"0,07","0,04","0,07",BRC0204T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,10","0,05","0,10",BRC0204T,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,02",BRC0204T,Nome não encontrado
Riboflavina,mg,"0,03","0,02","0,03",BRC0204T,Nome não encontrado
Niacina,mg,"0,34","0,17","0,34",BRC0204T,Nome não encontrado
Vitamina B6,mg,"0,04","0,02","0,04",BRC0204T,Nome não encontrado
Vitamina B12,mcg,"0,04","0,02","0,04",BRC0204T,Nome não encontrado
Vitamina C,mg,"0,63","0,31","0,63",BRC0204T,Nome não encontrado
Equivalente de folato,mcg,"3,65","1,83","3,65",BRC0204T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0204T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0204T,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0204T,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0204T,Nome não encontrado
Proteína animal,g,-,-,-,BRC0204T,Nome não encontrado
