componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,209,417,BRC0114H,Nome não encontrado
Energia,kcal,50,99,BRC0114H,Nome não encontrado
Umidade,g,"89,6",179,BRC0114H,Nome não encontrado
Carboidrato total,g,"5,37","10,7",BRC0114H,Nome não encontrado
Carboidrato disponível,g,"4,59","9,18",BRC0114H,Nome não encontrado
Proteína,g,"2,15","4,31",BRC0114H,Nome não encontrado
Lipídios,g,"2,37","4,74",BRC0114H,Nome não encontrado
Fibra alimentar,g,"0,78","1,56",BRC0114H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0114H,Nome não encontrado
Cinzas,g,"0,51","1,02",BRC0114H,Nome não encontrado
Colesterol,mg,"8,66","17,3",BRC0114H,Nome não encontrado
Ácidos graxos saturados,g,"1,45","2,89",BRC0114H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,66","1,33",BRC0114H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,12","0,24",BRC0114H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0114H,Nome não encontrado
Cálcio,mg,"85,9",171,BRC0114H,Nome não encontrado
Ferro,mg,"0,16","0,32",BRC0114H,Nome não encontrado
Sódio,mg,"45,2","90,4",BRC0114H,Nome não encontrado
Magnésio,mg,"8,85","17,7",BRC0114H,Nome não encontrado
Fósforo,mg,"59,0",117,BRC0114H,Nome não encontrado
Potássio,mg,109,219,BRC0114H,Nome não encontrado
Manganês,mg,"0,19","0,37",BRC0114H,Nome não encontrado
Zinco,mg,"0,29","0,58",BRC0114H,Nome não encontrado
Cobre,mg,"0,02","0,05",BRC0114H,Nome não encontrado
Selênio,mcg,"3,40","6,79",BRC0114H,Nome não encontrado
Vitamina A (RE),mcg,"34,7","69,4",BRC0114H,Nome não encontrado
Vitamina A (RAE),mcg,"34,3","68,6",BRC0114H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0114H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,15",BRC0114H,Nome não encontrado
Tiamina,mg,"0,03","0,06",BRC0114H,Nome não encontrado
Riboflavina,mg,"0,17","0,34",BRC0114H,Nome não encontrado
Niacina,mg,"1,14","2,28",BRC0114H,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0114H,Nome não encontrado
Vitamina B12,mcg,"0,26","0,52",BRC0114H,Nome não encontrado
Vitamina C,mg,"0,04","0,08",BRC0114H,Nome não encontrado
Equivalente de folato,mcg,"3,69","7,37",BRC0114H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0114H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0114H,Nome não encontrado
Gordura de adição,g,-,-,BRC0114H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0114H,Nome não encontrado
Proteína animal,g,-,-,BRC0114H,Nome não encontrado
