componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,501,275,200,BRC0858A,Nome não encontrado
Energia,kcal,119,65,47,BRC0858A,Nome não encontrado
Umidade,g,"71,9","39,6","28,8",BRC0858A,Nome não encontrado
Carboidrato total,g,"22,7","12,5","9,09",BRC0858A,Nome não encontrado
Carboidrato disponível,g,"20,4","11,2","8,18",BRC0858A,Nome não encontrado
Proteína,g,"2,21","1,21","0,88",BRC0858A,Nome não encontrado
Lipídios,g,"2,64","1,45","1,06",BRC0858A,Nome não encontrado
Fibra alimentar,g,"2,28","1,25","0,91",BRC0858A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Cinzas,g,"0,51","0,28","0,20",BRC0858A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Ácidos graxos saturados,g,"0,48","0,27","0,19",BRC0858A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,69","0,38","0,27",BRC0858A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,40","0,77","0,56",BRC0858A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,00",BRC0858A,Nome não encontrado
Cálcio,mg,"11,3","6,23","4,53",BRC0858A,Nome não encontrado
Ferro,mg,"0,31","0,17","0,12",BRC0858A,Nome não encontrado
Sódio,mg,"1,72","0,95","0,69",BRC0858A,Nome não encontrado
Magnésio,mg,"19,9","10,9","7,95",BRC0858A,Nome não encontrado
Fósforo,mg,"43,2","23,8","17,3",BRC0858A,Nome não encontrado
Potássio,mg,140,"77,4","56,3",BRC0858A,Nome não encontrado
Manganês,mg,"0,21","0,11","0,08",BRC0858A,Nome não encontrado
Zinco,mg,"0,25","0,14","0,10",BRC0858A,Nome não encontrado
Cobre,mg,"0,03","0,02","0,01",BRC0858A,Nome não encontrado
Selênio,mcg,"0,59","0,32","0,24",BRC0858A,Nome não encontrado
Vitamina A (RE),mcg,"56,8","31,2","22,7",BRC0858A,Nome não encontrado
Vitamina A (RAE),mcg,"28,4","15,6","11,4",BRC0858A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,55","0,30","0,22",BRC0858A,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0858A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01",BRC0858A,Nome não encontrado
Niacina,mg,"0,20","0,11","0,08",BRC0858A,Nome não encontrado
Vitamina B6,mg,"0,08","0,04","0,03",BRC0858A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Vitamina C,mg,"8,25","4,53","3,30",BRC0858A,Nome não encontrado
Equivalente de folato,mcg,"6,83","3,76","2,73",BRC0858A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0858A,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0858A,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0858A,Nome não encontrado
Proteína animal,g,-,-,-,BRC0858A,Nome não encontrado
