componente,unidade,Valor por 100g,Colher sopa rasa (35 g),Concha cheia (120 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,679,237,815,543,BRC0120T,Nome não encontrado
Energia,kcal,163,56,195,130,BRC0120T,Nome não encontrado
Umidade,g,"64,8","22,7","77,8","51,9",BRC0120T,Nome não encontrado
Carboidrato total,g,"17,5","6,11","21,0","14,0",BRC0120T,Nome não encontrado
Carboidrato disponível,g,"11,8","4,14","14,2","9,47",BRC0120T,Nome não encontrado
Proteína,g,"8,97","3,14","10,8","7,18",BRC0120T,Nome não encontrado
Lipídios,g,"7,59","2,66","9,11","6,07",BRC0120T,Nome não encontrado
Fibra alimentar,g,"5,63","1,97","6,75","4,50",BRC0120T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Cinzas,g,"1,16","0,40","1,39","0,93",BRC0120T,Nome não encontrado
Colesterol,mg,"8,50","2,97","10,2","6,80",BRC0120T,Nome não encontrado
Ácidos graxos saturados,g,"2,14","0,75","2,57","1,71",BRC0120T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,82","0,99","3,38","2,25",BRC0120T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,26","0,79","2,71","1,81",BRC0120T,Nome não encontrado
Ácidos graxos trans,g,"0,06","0,02","0,07","0,05",BRC0120T,Nome não encontrado
Cálcio,mg,"18,0","6,30","21,6","14,4",BRC0120T,Nome não encontrado
Ferro,mg,"1,60","0,56","1,91","1,28",BRC0120T,Nome não encontrado
Sódio,mg,212,"74,5",255,170,BRC0120T,Nome não encontrado
Magnésio,mg,"23,5","8,22","28,2","18,8",BRC0120T,Nome não encontrado
Fósforo,mg,116,"40,9",140,"93,6",BRC0120T,Nome não encontrado
Potássio,mg,251,"88,1",302,201,BRC0120T,Nome não encontrado
Manganês,mg,"0,30","0,10","0,36","0,24",BRC0120T,Nome não encontrado
Zinco,mg,"1,24","0,43","1,49","0,99",BRC0120T,Nome não encontrado
Cobre,mg,"0,19","0,07","0,23","0,15",BRC0120T,Nome não encontrado
Selênio,mcg,"0,05","0,02","0,06","0,04",BRC0120T,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,30","0,11","0,36","0,24",BRC0120T,Nome não encontrado
Tiamina,mg,"0,03","0,01","0,04","0,03",BRC0120T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Niacina,mg,"0,48","0,17","0,57","0,38",BRC0120T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,01","0,01",BRC0120T,Nome não encontrado
Vitamina B12,mcg,"0,16","0,06","0,20","0,13",BRC0120T,Nome não encontrado
Vitamina C,mg,"0,40","0,14","0,48","0,32",BRC0120T,Nome não encontrado
Equivalente de folato,mcg,143,"50,2",171,114,BRC0120T,Nome não encontrado
Sal de adição,g,"0,45","0,16","0,54","0,36",BRC0120T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0120T,Nome não encontrado
Gordura de adição,g,-,-,-,-,BRC0120T,Nome não encontrado
Proteína vegetal,g,-,-,-,-,BRC0120T,Nome não encontrado
Proteína animal,g,-,-,-,-,BRC0120T,Nome não encontrado
