componente,unidade,Valor por 100g,Colher servir cheia (75 g),Colher servir rasa (55 g),Colher sopa cheia (40 g),Colher sopa rasa (25 g),codigo_alimento,nome_alimento
Energia,kJ,168,126,92,67,42,BRC0250B,Nome não encontrado
Energia,kcal,41,31,22,16,10,BRC0250B,Nome não encontrado
Umidade,g,"90,4","67,8","49,7","36,2","22,6",BRC0250B,Nome não encontrado
Carboidrato total,g,"4,18","3,14","2,30","1,67","1,05",BRC0250B,Nome não encontrado
Carboidrato disponível,g,"1,11","0,83","0,61","0,44","0,28",BRC0250B,Nome não encontrado
Proteína,g,"1,94","1,46","1,07","0,78","0,49",BRC0250B,Nome não encontrado
Lipídios,g,"2,48","1,86","1,36","0,99","0,62",BRC0250B,Nome não encontrado
Fibra alimentar,g,"3,06","2,30","1,69","1,23","0,77",BRC0250B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0250B,Nome não encontrado
Cinzas,g,"1,00","0,75","0,55","0,40","0,25",BRC0250B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0250B,Nome não encontrado
Ácidos graxos saturados,g,"0,40","0,30","0,22","0,16","0,10",BRC0250B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,56","0,42","0,31","0,22","0,14",BRC0250B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,46","1,09","0,80","0,58","0,36",BRC0250B,Nome não encontrado
Ácidos graxos trans,g,"0,02","0,01","0,01","0,01","0,00",BRC0250B,Nome não encontrado
Cálcio,mg,"40,9","30,7","22,5","16,4","10,2",BRC0250B,Nome não encontrado
Ferro,mg,"0,50","0,37","0,27","0,20","0,12",BRC0250B,Nome não encontrado
Sódio,mg,147,110,"80,9","58,8","36,8",BRC0250B,Nome não encontrado
Magnésio,mg,"6,38","4,79","3,51","2,55","1,60",BRC0250B,Nome não encontrado
Fósforo,mg,"31,4","23,6","17,3","12,6","7,85",BRC0250B,Nome não encontrado
Potássio,mg,"91,7","68,8","50,4","36,7","22,9",BRC0250B,Nome não encontrado
Manganês,mg,"0,09","0,07","0,05","0,04","0,02",BRC0250B,Nome não encontrado
Zinco,mg,"0,14","0,11","0,08","0,06","0,04",BRC0250B,Nome não encontrado
Cobre,mg,"0,03","0,03","0,02","0,01","0,01",BRC0250B,Nome não encontrado
Selênio,mcg,"0,10","0,08","0,06","0,04","0,03",BRC0250B,Nome não encontrado
Vitamina A (RE),mcg,"6,04","4,53","3,32","2,42","1,51",BRC0250B,Nome não encontrado
Vitamina A (RAE),mcg,"3,02","2,27","1,66","1,21","0,76",BRC0250B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0250B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,36","0,27","0,20","0,14","0,09",BRC0250B,Nome não encontrado
Tiamina,mg,"0,05","0,04","0,03","0,02","0,01",BRC0250B,Nome não encontrado
Riboflavina,mg,"0,02","0,01","0,01","0,01","0,00",BRC0250B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0250B,Nome não encontrado
Vitamina B6,mg,"0,04","0,03","0,02","0,01","0,01",BRC0250B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0250B,Nome não encontrado
Vitamina C,mg,"8,75","6,56","4,81","3,50","2,19",BRC0250B,Nome não encontrado
Equivalente de folato,mcg,"3,92","2,94","2,15","1,57","0,98",BRC0250B,Nome não encontrado
Sal de adição,g,"0,32","0,24","0,18","0,13","0,08",BRC0250B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0250B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0250B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0250B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0250B,Nome não encontrado
