componente,unidade,Valor por 100g,Colher servir cheia (38 g),Colher sopa cheia (20 g),Colher sopa rasa (14 g),Escumadeira rasa (45 g),codigo_alimento,nome_alimento
Energia,kJ,279,106,55,39,125,BRC0326B,Nome não encontrado
Energia,kcal,67,25,13,9,29,BRC0326B,Nome não encontrado
Umidade,g,"82,0","31,2","16,4","11,5","36,9",BRC0326B,Nome não encontrado
Carboidrato total,g,"13,3","5,05","2,66","1,86","5,99",BRC0326B,Nome não encontrado
Carboidrato disponível,g,"9,36","3,55","1,87","1,31","4,21",BRC0326B,Nome não encontrado
Proteína,g,"2,35","0,89","0,47","0,33","1,06",BRC0326B,Nome não encontrado
Lipídios,g,"1,31","0,50","0,26","0,18","0,59",BRC0326B,Nome não encontrado
Fibra alimentar,g,"3,95","1,50","0,79","0,55","1,78",BRC0326B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Cinzas,g,"1,02","0,39","0,20","0,14","0,46",BRC0326B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Ácidos graxos saturados,g,"0,20","0,08","0,04","0,03","0,09",BRC0326B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,30","0,11","0,06","0,04","0,13",BRC0326B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,76","0,29","0,15","0,11","0,34",BRC0326B,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Cálcio,mg,"17,1","6,50","3,42","2,40","7,70",BRC0326B,Nome não encontrado
Ferro,mg,"0,38","0,15","0,08","0,05","0,17",BRC0326B,Nome não encontrado
Sódio,mg,"11,1","4,21","2,22","1,55","4,99",BRC0326B,Nome não encontrado
Magnésio,mg,"25,4","9,64","5,07","3,55","11,4",BRC0326B,Nome não encontrado
Fósforo,mg,"25,6","9,73","5,12","3,58","11,5",BRC0326B,Nome não encontrado
Potássio,mg,439,166,"87,8","61,5",197,BRC0326B,Nome não encontrado
Manganês,mg,"1,40","0,53","0,28","0,20","0,63",BRC0326B,Nome não encontrado
Zinco,mg,"0,60","0,23","0,12","0,08","0,27",BRC0326B,Nome não encontrado
Cobre,mg,"0,10","0,04","0,02","0,01","0,04",BRC0326B,Nome não encontrado
Selênio,mcg,"0,26","0,10","0,05","0,04","0,11",BRC0326B,Nome não encontrado
Vitamina A (RE),mcg,"1,79","0,68","0,36","0,25","0,81",BRC0326B,Nome não encontrado
Vitamina A (RAE),mcg,"0,90","0,34","0,18","0,13","0,40",BRC0326B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,18","0,07","0,04","0,03","0,08",BRC0326B,Nome não encontrado
Tiamina,mg,"0,05","0,02","0,01","0,01","0,02",BRC0326B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0326B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0326B,Nome não encontrado
Vitamina B6,mg,"0,06","0,02","0,01","0,01","0,02",BRC0326B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Vitamina C,mg,"3,44","1,31","0,69","0,48","1,55",BRC0326B,Nome não encontrado
Equivalente de folato,mcg,"97,9","37,2","19,6","13,7","44,0",BRC0326B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0326B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,BRC0326B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,BRC0326B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,BRC0326B,Nome não encontrado
