componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (17 g),Concha cheia (140 g),Concha rasa (80 g),codigo_alimento,nome_alimento
Energia,kJ,285,99,48,398,227,BRC0010T,Nome não encontrado
Energia,kcal,68,23,11,95,54,BRC0010T,Nome não encontrado
Umidade,g,"77,9","27,3","13,2",109,"62,3",BRC0010T,Nome não encontrado
Carboidrato total,g,"15,3","5,34","2,60","21,4","12,2",BRC0010T,Nome não encontrado
Carboidrato disponível,g,"5,95","2,08","1,01","8,33","4,76",BRC0010T,Nome não encontrado
Proteína,g,"5,54","1,94","0,94","7,75","4,43",BRC0010T,Nome não encontrado
Lipídios,g,"0,40","0,14","0,07","0,56","0,32",BRC0010T,Nome não encontrado
Fibra alimentar,g,"9,32","3,26","1,58","13,0","7,45",BRC0010T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Cinzas,g,"0,93","0,33","0,16","1,30","0,74",BRC0010T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Ácidos graxos saturados,g,"0,10","0,04","0,02","0,14","0,08",BRC0010T,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,BRC0010T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,20","0,07","0,03","0,28","0,16",BRC0010T,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Cálcio,mg,"29,2","10,2","4,96","40,9","23,4",BRC0010T,Nome não encontrado
Ferro,mg,"1,36","0,47","0,23","1,90","1,09",BRC0010T,Nome não encontrado
Sódio,mg,"0,69","0,24","0,12","0,96","0,55",BRC0010T,Nome não encontrado
Magnésio,mg,"41,7","14,6","7,09","58,4","33,4",BRC0010T,Nome não encontrado
Fósforo,mg,112,"39,5","19,2",158,"90,3",BRC0010T,Nome não encontrado
Potássio,mg,314,110,"53,5",440,251,BRC0010T,Nome não encontrado
Manganês,mg,"0,29","0,10","0,05","0,41","0,24",BRC0010T,Nome não encontrado
Zinco,mg,"0,92","0,32","0,16","1,29","0,74",BRC0010T,Nome não encontrado
Cobre,mg,"0,23","0,08","0,04","0,32","0,18",BRC0010T,Nome não encontrado
Selênio,mcg,"0,03","0,01","0,00","0,04","0,02",BRC0010T,Nome não encontrado
Vitamina A (RE),mcg,,,,,,BRC0010T,Nome não encontrado
Vitamina A (RAE),mcg,,,,,,BRC0010T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,58","0,20","0,10","0,81","0,46",BRC0010T,Nome não encontrado
Tiamina,mg,"0,09","0,03","0,02","0,13","0,07",BRC0010T,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0010T,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0010T,Nome não encontrado
Vitamina B6,mg,"0,04","0,01","0,01","0,06","0,03",BRC0010T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0010T,Nome não encontrado
Equivalente de folato,mcg,102,"36,0","17,5",143,"82,2",BRC0010T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
Proteína vegetal,g,"5,54","1,94","0,94","7,75","4,43",BRC0010T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0010T,Nome não encontrado
