componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1123,BRC0275T,Nome não encontrado
Energia,kcal,266,BRC0275T,Nome não encontrado
Umidade,g,"60,0",BRC0275T,Nome não encontrado
Carboidrato total,g,"40,0",BRC0275T,Nome não encontrado
Carboidrato disponível,g,"35,0",BRC0275T,Nome não encontrado
Proteína,g,"9,05",BRC0275T,Nome não encontrado
Lipídios,g,"1,09",BRC0275T,Nome não encontrado
Fibra alimentar,g,"17,0",BRC0275T,Nome não encontrado
Álcool,g,"0,00",BRC0275T,Nome não encontrado
Cinzas,g,"1,54",BRC0275T,Nome não encontrado
Colesterol,mg,"0,00",BRC0275T,Nome não encontrado
Ácidos graxos saturados,g,"0,20",BRC0275T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00",BRC0275T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,61",BRC0275T,Nome não encontrado
Ácidos graxos trans,g,,BRC0275T,Nome não encontrado
Cálcio,mg,"58,6",BRC0275T,Nome não encontrado
Ferro,mg,"2,97",BRC0275T,Nome não encontrado
Sódio,mg,"3,74",BRC0275T,Nome não encontrado
Magnésio,mg,"81,6",BRC0275T,Nome não encontrado
Fósforo,mg,177,BRC0275T,Nome não encontrado
Potássio,mg,517,BRC0275T,Nome não encontrado
Manganês,mg,"0,75",BRC0275T,Nome não encontrado
Zinco,mg,"3,74",BRC0275T,Nome não encontrado
Cobre,mg,"1,13",BRC0275T,Nome não encontrado
Selênio,mcg,"5,49",BRC0275T,Nome não encontrado
Vitamina A (RE),mcg,109,BRC0275T,Nome não encontrado
Vitamina A (RAE),mcg,"60,0",BRC0275T,Nome não encontrado
Vitamina D,mcg,"0,00",BRC0275T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00",BRC0275T,Nome não encontrado
Tiamina,mg,"0,12",BRC0275T,Nome não encontrado
Riboflavina,mg,traços,BRC0275T,Nome não encontrado
Niacina,mg,traços,BRC0275T,Nome não encontrado
Vitamina B6,mg,"0,06",BRC0275T,Nome não encontrado
Vitamina B12,mcg,"0,00",BRC0275T,Nome não encontrado
Vitamina C,mg,traços,BRC0275T,Nome não encontrado
Equivalente de folato,mcg,173,BRC0275T,Nome não encontrado
Sal de adição,g,"0,00",BRC0275T,Nome não encontrado
Açúcar de adição,g,"0,00",BRC0275T,Nome não encontrado
Gordura de adição,g,"0,00",BRC0275T,Nome não encontrado
Proteína vegetal,g,"9,05",BRC0275T,Nome não encontrado
Proteína animal,g,"0,00",BRC0275T,Nome não encontrado
