componente,unidade,Valor por 100g,Colher sopa cheia (30 g),Colher sopa rasa (15 g),codigo_alimento,nome_alimento
Energia,kJ,959,287,143,BRC0006G,Nome não encontrado
Energia,kcal,232,69,34,BRC0006G,Nome não encontrado
Umidade,g,"68,5","20,6","10,3",BRC0006G,Nome não encontrado
Carboidrato total,g,"1,97","0,59","0,30",BRC0006G,Nome não encontrado
Carboidrato disponível,g,"1,97","0,59","0,30",BRC0006G,Nome não encontrado
Proteína,g,"6,00","1,80","0,90",BRC0006G,Nome não encontrado
Lipídios,g,"22,3","6,68","3,34",BRC0006G,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00",BRC0006G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0006G,Nome não encontrado
Cinzas,g,"1,28","0,38","0,19",BRC0006G,Nome não encontrado
Colesterol,mg,"70,0","21,0","10,5",BRC0006G,Nome não encontrado
Ácidos graxos saturados,g,"14,0","4,21","2,10",BRC0006G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"6,28","1,88","0,94",BRC0006G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,80","0,24","0,12",BRC0006G,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0006G,Nome não encontrado
Cálcio,mg,"53,9","16,2","8,08",BRC0006G,Nome não encontrado
Ferro,mg,"0,86","0,26","0,13",BRC0006G,Nome não encontrado
Sódio,mg,330,"99,3","49,6",BRC0006G,Nome não encontrado
Magnésio,mg,"4,55","1,37","0,68",BRC0006G,Nome não encontrado
Fósforo,mg,"69,1","20,7","10,4",BRC0006G,Nome não encontrado
Potássio,mg,"85,0","25,5","12,8",BRC0006G,Nome não encontrado
Manganês,mg,traços,traços,traços,BRC0006G,Nome não encontrado
Zinco,mg,"0,39","0,12","0,06",BRC0006G,Nome não encontrado
Cobre,mg,"0,01","0,00","0,00",BRC0006G,Nome não encontrado
Selênio,mcg,"2,05","0,61","0,31",BRC0006G,Nome não encontrado
Vitamina A (RE),mcg,235,"70,8","35,4",BRC0006G,Nome não encontrado
Vitamina A (RAE),mcg,234,"70,4","35,2",BRC0006G,Nome não encontrado
Vitamina D,mcg,"0,39","0,12","0,06",BRC0006G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,60","0,18","0,09",BRC0006G,Nome não encontrado
Tiamina,mg,"0,02","0,00","0,00",BRC0006G,Nome não encontrado
Riboflavina,mg,"0,14","0,04","0,02",BRC0006G,Nome não encontrado
Niacina,mg,"0,72","0,22","0,11",BRC0006G,Nome não encontrado
Vitamina B6,mg,"0,03","0,01","0,00",BRC0006G,Nome não encontrado
Vitamina B12,mcg,"0,30","0,09","0,05",BRC0006G,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00",BRC0006G,Nome não encontrado
Equivalente de folato,mcg,"9,11","2,73","1,37",BRC0006G,Nome não encontrado
Sal de adição,g,,,,BRC0006G,Nome não encontrado
Açúcar de adição,g,,,,BRC0006G,Nome não encontrado
Gordura de adição,g,,,,BRC0006G,Nome não encontrado
Proteína vegetal,g,"0,00","0,00","0,00",BRC0006G,Nome não encontrado
Proteína animal,g,"6,00","1,80","0,90",BRC0006G,Nome não encontrado
