componente,unidade,Valor por 100g,Concha cheia (130 g),codigo_alimento,nome_alimento
Energia,kJ,35,45,BRC0373E,Nome não encontrado
Energia,kcal,8,10,BRC0373E,Nome não encontrado
Umidade,g,"97,5",126,BRC0373E,Nome não encontrado
Carboidrato total,g,"1,13","1,47",BRC0373E,Nome não encontrado
Carboidrato disponível,g,"0,86","1,12",BRC0373E,Nome não encontrado
Proteína,g,"0,90","1,17",BRC0373E,Nome não encontrado
Lipídios,g,"0,08","0,10",BRC0373E,Nome não encontrado
Fibra alimentar,g,"0,27","0,35",BRC0373E,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0373E,Nome não encontrado
Cinzas,g,"0,18","0,23",BRC0373E,Nome não encontrado
Colesterol,mg,"9,63","12,5",BRC0373E,Nome não encontrado
Ácidos graxos saturados,g,"0,02","0,02",BRC0373E,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,01",BRC0373E,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,02",BRC0373E,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0373E,Nome não encontrado
Cálcio,mg,"9,07","11,8",BRC0373E,Nome não encontrado
Ferro,mg,"0,17","0,22",BRC0373E,Nome não encontrado
Sódio,mg,"15,6","20,3",BRC0373E,Nome não encontrado
Magnésio,mg,"2,38","3,10",BRC0373E,Nome não encontrado
Fósforo,mg,"15,8","20,6",BRC0373E,Nome não encontrado
Potássio,mg,"35,4","46,0",BRC0373E,Nome não encontrado
Manganês,mg,"0,03","0,03",BRC0373E,Nome não encontrado
Zinco,mg,"0,07","0,09",BRC0373E,Nome não encontrado
Cobre,mg,"0,04","0,05",BRC0373E,Nome não encontrado
Selênio,mcg,"0,08","0,10",BRC0373E,Nome não encontrado
Vitamina A (RE),mcg,"78,2",101,BRC0373E,Nome não encontrado
Vitamina A (RAE),mcg,"40,1","52,2",BRC0373E,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0373E,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,18",BRC0373E,Nome não encontrado
Tiamina,mg,traços,traços,BRC0373E,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0373E,Nome não encontrado
Niacina,mg,"0,09","0,12",BRC0373E,Nome não encontrado
Vitamina B6,mg,"0,02","0,02",BRC0373E,Nome não encontrado
Vitamina B12,mcg,"0,06","0,08",BRC0373E,Nome não encontrado
Vitamina C,mg,"0,55","0,71",BRC0373E,Nome não encontrado
Equivalente de folato,mcg,"3,39","4,41",BRC0373E,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0373E,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0373E,Nome não encontrado
Gordura de adição,g,-,-,BRC0373E,Nome não encontrado
Proteína vegetal,g,-,-,BRC0373E,Nome não encontrado
Proteína animal,g,-,-,BRC0373E,Nome não encontrado
