componente,unidade,Valor por 100g,Colher servir cheia (55 g),Colher sobremesa cheia (27 g),Colher sopa cheia (37 g),Prato fundo (375 g),Prato raso (195 g),codigo_alimento,nome_alimento
Energia,kJ,520,286,140,192,1950,1014,BRC0055G,Nome não encontrado
Energia,kcal,123,67,33,45,460,239,BRC0055G,Nome não encontrado
Umidade,g,"69,9","38,4","18,9","25,9",262,136,BRC0055G,Nome não encontrado
Carboidrato total,g,"26,1","14,4","7,06","9,67","98,0","51,0",BRC0055G,Nome não encontrado
Carboidrato disponível,g,"25,2","13,9","6,81","9,34","94,6","49,2",BRC0055G,Nome não encontrado
Proteína,g,"1,88","1,03","0,51","0,69","7,04","3,66",BRC0055G,Nome não encontrado
Lipídios,g,"1,41","0,77","0,38","0,52","5,27","2,74",BRC0055G,Nome não encontrado
Fibra alimentar,g,"0,90","0,50","0,24","0,33","3,39","1,76",BRC0055G,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0055G,Nome não encontrado
Cinzas,g,"0,70","0,39","0,19","0,26","2,63","1,37",BRC0055G,Nome não encontrado
Colesterol,mg,"4,89","2,69","1,32","1,81","18,4","9,54",BRC0055G,Nome não encontrado
Ácidos graxos saturados,g,"0,84","0,46","0,23","0,31","3,13","1,63",BRC0055G,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,42","0,23","0,11","0,16","1,58","0,82",BRC0055G,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,10","0,05","0,03","0,04","0,37","0,19",BRC0055G,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0055G,Nome não encontrado
Cálcio,mg,"44,3","24,4","12,0","16,4",166,"86,4",BRC0055G,Nome não encontrado
Ferro,mg,"0,21","0,11","0,06","0,08","0,77","0,40",BRC0055G,Nome não encontrado
Sódio,mg,"26,6","14,6","7,19","9,85","99,9","51,9",BRC0055G,Nome não encontrado
Magnésio,mg,"16,9","9,28","4,56","6,24","63,3","32,9",BRC0055G,Nome não encontrado
Fósforo,mg,"45,6","25,1","12,3","16,9",170,"88,9",BRC0055G,Nome não encontrado
Potássio,mg,226,124,"61,3","83,9",850,442,BRC0055G,Nome não encontrado
Manganês,mg,"0,07","0,04","0,02","0,02","0,25","0,13",BRC0055G,Nome não encontrado
Zinco,mg,"0,24","0,13","0,06","0,09","0,89","0,46",BRC0055G,Nome não encontrado
Cobre,mg,"0,06","0,03","0,02","0,02","0,21","0,11",BRC0055G,Nome não encontrado
Selênio,mcg,"2,20","1,21","0,59","0,81","8,23","4,28",BRC0055G,Nome não encontrado
Vitamina A (RE),mcg,"19,6","10,8","5,30","7,26","73,6","38,3",BRC0055G,Nome não encontrado
Vitamina A (RAE),mcg,"19,3","10,6","5,21","7,14","72,4","37,7",BRC0055G,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0055G,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,06","0,03","0,02","0,02","0,23","0,12",BRC0055G,Nome não encontrado
Tiamina,mg,"0,01","0,01","0,00","0,01","0,05","0,03",BRC0055G,Nome não encontrado
Riboflavina,mg,"0,10","0,05","0,03","0,04","0,37","0,19",BRC0055G,Nome não encontrado
Niacina,mg,"0,57","0,31","0,15","0,21","2,14","1,11",BRC0055G,Nome não encontrado
Vitamina B6,mg,"0,06","0,04","0,02","0,02","0,24","0,12",BRC0055G,Nome não encontrado
Vitamina B12,mcg,"0,14","0,08","0,04","0,05","0,53","0,27",BRC0055G,Nome não encontrado
Vitamina C,mg,"2,70","1,48","0,73","1,00","10,1","5,26",BRC0055G,Nome não encontrado
Equivalente de folato,mcg,"11,2","6,18","3,04","4,16","42,2","21,9",BRC0055G,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0055G,Nome não encontrado
Açúcar de adição,g,"7,00","3,85","1,89","2,59","26,3","13,7",BRC0055G,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0055G,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0055G,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0055G,Nome não encontrado
