componente,unidade,Valor por 100g,Colher servir cheia (50 g),Escumadeira cheia (110 g),Escumadeira rasa (90 g),codigo_alimento,nome_alimento
Energia,kJ,351,175,386,315,BRC0596A,Nome não encontrado
Energia,kcal,84,42,92,75,BRC0596A,Nome não encontrado
Umidade,g,"79,0","39,5","86,9","71,1",BRC0596A,Nome não encontrado
Carboidrato total,g,"16,2","8,10","17,8","14,6",BRC0596A,Nome não encontrado
Carboidrato disponível,g,"14,7","7,35","16,2","13,2",BRC0596A,Nome não encontrado
Proteína,g,"3,01","1,51","3,31","2,71",BRC0596A,Nome não encontrado
Lipídios,g,"1,05","0,53","1,16","0,95",BRC0596A,Nome não encontrado
Fibra alimentar,g,"1,43","0,72","1,57","1,29",BRC0596A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
Cinzas,g,"0,75","0,38","0,83","0,68",BRC0596A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
Ácidos graxos saturados,g,"0,18","0,09","0,20","0,16",BRC0596A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,20","0,10","0,22","0,18",BRC0596A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,53","0,27","0,58","0,48",BRC0596A,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,01","0,01","0,01",BRC0596A,Nome não encontrado
Cálcio,mg,"9,68","4,84","10,6","8,71",BRC0596A,Nome não encontrado
Ferro,mg,"0,26","0,13","0,29","0,23",BRC0596A,Nome não encontrado
Sódio,mg,189,"94,5",207,170,BRC0596A,Nome não encontrado
Magnésio,mg,"12,3","6,15","13,5","11,1",BRC0596A,Nome não encontrado
Fósforo,mg,"34,8","17,4","38,3","31,3",BRC0596A,Nome não encontrado
Potássio,mg,"79,0","39,5","86,9","71,1",BRC0596A,Nome não encontrado
Manganês,mg,"0,13","0,07","0,14","0,12",BRC0596A,Nome não encontrado
Zinco,mg,"0,21","0,11","0,23","0,19",BRC0596A,Nome não encontrado
Cobre,mg,"0,05","0,03","0,06","0,05",BRC0596A,Nome não encontrado
Selênio,mcg,"1,66","0,83","1,83","1,49",BRC0596A,Nome não encontrado
Vitamina A (RE),mcg,"66,7","33,4","73,4","60,0",BRC0596A,Nome não encontrado
Vitamina A (RAE),mcg,"33,3","16,7","36,6","30,0",BRC0596A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,19","0,41","0,33",BRC0596A,Nome não encontrado
Tiamina,mg,"0,02","0,01","0,02","0,02",BRC0596A,Nome não encontrado
Riboflavina,mg,"0,01","0,01","0,01","0,01",BRC0596A,Nome não encontrado
Niacina,mg,"18,7","9,35","20,6","16,8",BRC0596A,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,03","0,03",BRC0596A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
Vitamina C,mg,"19,4","9,70","21,3","17,5",BRC0596A,Nome não encontrado
Equivalente de folato,mcg,"55,8","27,9","61,4","50,2",BRC0596A,Nome não encontrado
Sal de adição,g,"0,47","0,24","0,52","0,42",BRC0596A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
Gordura de adição,g,"0,63","0,32","0,69","0,57",BRC0596A,Nome não encontrado
Proteína vegetal,g,"2,99","1,50","3,29","2,69",BRC0596A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0596A,Nome não encontrado
