componente,unidade,Valor por 100g,Colher café cheia (4 g),Colher café rasa (1 g),codigo_alimento,nome_alimento
Energia,kJ,1352,54,13,BRC0824B,Nome não encontrado
Energia,kcal,328,13,3,BRC0824B,Nome não encontrado
Umidade,g,"9,31","0,37","0,09",BRC0824B,Nome não encontrado
Carboidrato total,g,"64,1","2,56","0,64",BRC0824B,Nome não encontrado
Carboidrato disponível,g,"21,5","0,86","0,21",BRC0824B,Nome não encontrado
Proteína,g,"4,88","0,20","0,05",BRC0824B,Nome não encontrado
Lipídios,g,"15,2","0,61","0,15",BRC0824B,Nome não encontrado
Fibra alimentar,g,"42,6","1,70","0,43",BRC0824B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Cinzas,g,"6,53","0,26","0,07",BRC0824B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Ácidos graxos saturados,g,"7,37","0,29","0,07",BRC0824B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"3,01","0,12","0,03",BRC0824B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"2,34","0,09","0,02",BRC0824B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Cálcio,mg,1280,"51,2","12,8",BRC0824B,Nome não encontrado
Ferro,mg,"29,3","1,17","0,29",BRC0824B,Nome não encontrado
Sódio,mg,"50,0","2,00","0,50",BRC0824B,Nome não encontrado
Magnésio,mg,220,"8,80","2,20",BRC0824B,Nome não encontrado
Fósforo,mg,"70,0","2,80","0,70",BRC0824B,Nome não encontrado
Potássio,mg,955,"38,2","9,55",BRC0824B,Nome não encontrado
Manganês,mg,"1,87","0,07","0,02",BRC0824B,Nome não encontrado
Zinco,mg,"3,23","0,13","0,03",BRC0824B,Nome não encontrado
Cobre,mg,"0,55","0,02","0,01",BRC0824B,Nome não encontrado
Selênio,mcg,"4,60","0,18","0,05",BRC0824B,Nome não encontrado
Vitamina A (RE),mcg,,,,BRC0824B,Nome não encontrado
Vitamina A (RAE),mcg,156,"6,24","1,56",BRC0824B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,BRC0824B,Nome não encontrado
Tiamina,mg,"0,51","0,02","0,01",BRC0824B,Nome não encontrado
Riboflavina,mg,"0,43","0,02","0,00",BRC0824B,Nome não encontrado
Niacina,mg,"1,00","0,04","0,01",BRC0824B,Nome não encontrado
Vitamina B6,mg,"1,74","0,07","0,02",BRC0824B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Vitamina C,mg,"61,2","2,45","0,61",BRC0824B,Nome não encontrado
Equivalente de folato,mcg,307,"12,3","3,07",BRC0824B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0824B,Nome não encontrado
Proteína vegetal,g,"4,88","0,20","0,05",BRC0824B,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0824B,Nome não encontrado
