componente,unidade,Valor por 100g,Colher sopa cheia (20 g),Colher sopa rasa (12 g),codigo_alimento,nome_alimento
Energia,kJ,1482,296,177,BRC0124A,Nome não encontrado
Energia,kcal,349,69,41,BRC0124A,Nome não encontrado
Umidade,g,"12,7","2,54","1,52",BRC0124A,Nome não encontrado
Carboidrato total,g,"86,3","17,3","10,4",BRC0124A,Nome não encontrado
Carboidrato disponível,g,"85,5","17,1","10,3",BRC0124A,Nome não encontrado
Proteína,g,"0,64","0,13","0,08",BRC0124A,Nome não encontrado
Lipídios,g,"0,30","0,06","0,04",BRC0124A,Nome não encontrado
Fibra alimentar,g,"0,74","0,15","0,09",BRC0124A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Cinzas,g,"0,08","0,02","0,01",BRC0124A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Ácidos graxos saturados,g,"0,05","0,01","0,01",BRC0124A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,74","0,15","0,09",BRC0124A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,74","0,15","0,09",BRC0124A,Nome não encontrado
Ácidos graxos trans,g,,,,BRC0124A,Nome não encontrado
Cálcio,mg,"1,05","0,21","0,13",BRC0124A,Nome não encontrado
Ferro,mg,"0,13","0,03","0,02",BRC0124A,Nome não encontrado
Sódio,mg,"8,04","1,61","0,96",BRC0124A,Nome não encontrado
Magnésio,mg,"3,01","0,60","0,36",BRC0124A,Nome não encontrado
Fósforo,mg,"12,5","2,51","1,50",BRC0124A,Nome não encontrado
Potássio,mg,"8,49","1,70","1,02",BRC0124A,Nome não encontrado
Manganês,mg,"0,02","0,00","0,00",BRC0124A,Nome não encontrado
Zinco,mg,"0,08","0,02","0,01",BRC0124A,Nome não encontrado
Cobre,mg,"0,02","0,00","0,00",BRC0124A,Nome não encontrado
Selênio,mcg,"2,67","0,53","0,32",BRC0124A,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Tiamina,mg,traços,traços,traços,BRC0124A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,BRC0124A,Nome não encontrado
Niacina,mg,traços,traços,traços,BRC0124A,Nome não encontrado
Vitamina B6,mg,traços,traços,traços,BRC0124A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,BRC0124A,Nome não encontrado
Equivalente de folato,mcg,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
Proteína vegetal,g,"0,64","0,13","0,08",BRC0124A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00",BRC0124A,Nome não encontrado
