componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,1863,BRC0086K,Nome não encontrado
Energia,kcal,443,BRC0086K,Nome não encontrado
Umidade,g,"8,32",BRC0086K,Nome não encontrado
Carboidrato total,g,"70,5",BRC0086K,Nome não encontrado
Carboidrato disponível,g,"69,1",BRC0086K,Nome não encontrado
Proteína,g,"4,20",BRC0086K,Nome não encontrado
Lipídios,g,"16,4",BRC0086K,Nome não encontrado
Fibra alimentar,g,"1,32",BRC0086K,Nome não encontrado
Álcool,g,"0,00",BRC0086K,Nome não encontrado
Cinzas,g,"0,73",BRC0086K,Nome não encontrado
Colesterol,mg,"71,0",BRC0086K,Nome não encontrado
Ácidos graxos saturados,g,"7,59",BRC0086K,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,67",BRC0086K,Nome não encontrado
Ácidos graxos poliinsaturados,g,"3,54",BRC0086K,Nome não encontrado
Ácidos graxos trans,g,"0,06",BRC0086K,Nome não encontrado
Cálcio,mg,"14,5",BRC0086K,Nome não encontrado
Ferro,mg,"1,63",BRC0086K,Nome não encontrado
Sódio,mg,"26,0",BRC0086K,Nome não encontrado
Magnésio,mg,"14,5",BRC0086K,Nome não encontrado
Fósforo,mg,"61,0",BRC0086K,Nome não encontrado
Potássio,mg,"94,3",BRC0086K,Nome não encontrado
Manganês,mg,"0,20",BRC0086K,Nome não encontrado
Zinco,mg,"0,65",BRC0086K,Nome não encontrado
Cobre,mg,"0,07",BRC0086K,Nome não encontrado
Selênio,mcg,"5,56",BRC0086K,Nome não encontrado
Vitamina A (RE),mcg,"75,0",BRC0086K,Nome não encontrado
Vitamina A (RAE),mcg,"74,6",BRC0086K,Nome não encontrado
Vitamina D,mcg,"0,36",BRC0086K,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,32",BRC0086K,Nome não encontrado
Tiamina,mg,"0,06",BRC0086K,Nome não encontrado
Riboflavina,mg,"0,04",BRC0086K,Nome não encontrado
Niacina,mg,"0,21",BRC0086K,Nome não encontrado
Vitamina B6,mg,"0,02",BRC0086K,Nome não encontrado
Vitamina B12,mcg,"0,11",BRC0086K,Nome não encontrado
Vitamina C,mg,"0,37",BRC0086K,Nome não encontrado
Equivalente de folato,mcg,"51,1",BRC0086K,Nome não encontrado
Sal de adição,g,"0,00",BRC0086K,Nome não encontrado
Açúcar de adição,g,"54,0",BRC0086K,Nome não encontrado
Gordura de adição,g,-,BRC0086K,Nome não encontrado
Proteína vegetal,g,-,BRC0086K,Nome não encontrado
Proteína animal,g,-,BRC0086K,Nome não encontrado
