componente,unidade,Valor por 100g,Colher sobremesa cheia (17 g),Colher sobremesa rasa (11 g),Colher sopa cheia (24 g),Colher sopa rasa (14 g),codigo_alimento,nome_alimento
Energia,kJ,544,92,59,130,76,BRC0177A,Nome não encontrado
Energia,kcal,129,21,14,30,18,BRC0177A,Nome não encontrado
Umidade,g,"65,6","11,2","7,22","15,7","9,18",BRC0177A,Nome não encontrado
Carboidrato total,g,"26,6","4,52","2,92","6,38","3,72",BRC0177A,Nome não encontrado
Carboidrato disponível,g,"22,9","3,90","2,52","5,50","3,21",BRC0177A,Nome não encontrado
Proteína,g,"6,13","1,04","0,67","1,47","0,86",BRC0177A,Nome não encontrado
Lipídios,g,"0,57","0,10","0,06","0,14","0,08",BRC0177A,Nome não encontrado
Fibra alimentar,g,"3,65","0,62","0,40","0,88","0,51",BRC0177A,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Cinzas,g,"1,13","0,19","0,12","0,27","0,16",BRC0177A,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Ácidos graxos saturados,g,"0,09","0,02","0,01","0,02","0,01",BRC0177A,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,09","0,02","0,01","0,02","0,01",BRC0177A,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,27","0,05","0,03","0,07","0,04",BRC0177A,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Cálcio,mg,"1,84","0,31","0,20","0,44","0,26",BRC0177A,Nome não encontrado
Ferro,mg,"0,80","0,14","0,09","0,19","0,11",BRC0177A,Nome não encontrado
Sódio,mg,188,"32,0","20,7","45,2","26,4",BRC0177A,Nome não encontrado
Magnésio,mg,"14,9","2,54","1,64","3,58","2,09",BRC0177A,Nome não encontrado
Fósforo,mg,"94,4","16,0","10,4","22,7","13,2",BRC0177A,Nome não encontrado
Potássio,mg,"86,0","14,6","9,46","20,6","12,0",BRC0177A,Nome não encontrado
Manganês,mg,"0,10","0,02","0,01","0,02","0,01",BRC0177A,Nome não encontrado
Zinco,mg,"0,36","0,06","0,04","0,09","0,05",BRC0177A,Nome não encontrado
Cobre,mg,"0,05","0,01","0,00","0,01","0,01",BRC0177A,Nome não encontrado
Selênio,mcg,"0,42","0,07","0,05","0,10","0,06",BRC0177A,Nome não encontrado
Vitamina A (RE),mcg,"34,5","5,86","3,79","8,27","4,83",BRC0177A,Nome não encontrado
Vitamina A (RAE),mcg,"17,2","2,93","1,90","4,14","2,41",BRC0177A,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,03","0,00","0,00","0,01","0,00",BRC0177A,Nome não encontrado
Tiamina,mg,"0,18","0,03","0,02","0,04","0,03",BRC0177A,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,BRC0177A,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,BRC0177A,Nome não encontrado
Vitamina B6,mg,"0,02","0,00","0,00","0,01","0,00",BRC0177A,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Vitamina C,mg,traços,traços,traços,traços,traços,BRC0177A,Nome não encontrado
Equivalente de folato,mcg,"29,8","5,06","3,27","7,14","4,17",BRC0177A,Nome não encontrado
Sal de adição,g,"0,47","0,08","0,05","0,11","0,07",BRC0177A,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
Proteína vegetal,g,"6,13","1,04","0,67","1,47","0,86",BRC0177A,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0177A,Nome não encontrado
