componente,unidade,Valor por 100g,Concha cheia (200 g),Concha rasa (130 g),codigo_alimento,nome_alimento
Energia,kJ,311,622,404,BRC0895F,Nome não encontrado
Energia,kcal,74,148,96,BRC0895F,Nome não encontrado
Umidade,g,"83,0",166,107,BRC0895F,Nome não encontrado
Carboidrato total,g,"8,02","16,0","10,4",BRC0895F,Nome não encontrado
Carboidrato disponível,g,"6,17","12,3","8,02",BRC0895F,Nome não encontrado
Proteína,g,"6,41","12,8","8,33",BRC0895F,Nome não encontrado
Lipídios,g,"2,23","4,47","2,90",BRC0895F,Nome não encontrado
Fibra alimentar,g,"1,84","3,69","2,40",BRC0895F,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Cinzas,g,"0,33","0,65","0,42",BRC0895F,Nome não encontrado
Colesterol,mg,"49,1","98,2","63,8",BRC0895F,Nome não encontrado
Ácidos graxos saturados,g,"0,69","1,37","0,89",BRC0895F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,57","1,13","0,74",BRC0895F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,79","1,59","1,03",BRC0895F,Nome não encontrado
Ácidos graxos trans,g,"0,03","0,07","0,04",BRC0895F,Nome não encontrado
Cálcio,mg,"24,4","48,7","31,7",BRC0895F,Nome não encontrado
Ferro,mg,"0,86","1,73","1,12",BRC0895F,Nome não encontrado
Sódio,mg,"24,6","49,2","32,0",BRC0895F,Nome não encontrado
Magnésio,mg,"15,5","31,1","20,2",BRC0895F,Nome não encontrado
Fósforo,mg,"43,5","87,0","56,6",BRC0895F,Nome não encontrado
Potássio,mg,214,429,279,BRC0895F,Nome não encontrado
Manganês,mg,"0,06","0,13","0,08",BRC0895F,Nome não encontrado
Zinco,mg,"1,01","2,01","1,31",BRC0895F,Nome não encontrado
Cobre,mg,"0,16","0,32","0,21",BRC0895F,Nome não encontrado
Selênio,mcg,"8,19","16,4","10,6",BRC0895F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,61","1,22","0,80",BRC0895F,Nome não encontrado
Tiamina,mg,"0,04","0,08","0,05",BRC0895F,Nome não encontrado
Riboflavina,mg,"0,01","0,02","0,02",BRC0895F,Nome não encontrado
Niacina,mg,"0,77","1,53","1,00",BRC0895F,Nome não encontrado
Vitamina B6,mg,"0,06","0,11","0,07",BRC0895F,Nome não encontrado
Vitamina B12,mcg,"0,10","0,19","0,12",BRC0895F,Nome não encontrado
Vitamina C,mg,"10,9","21,9","14,2",BRC0895F,Nome não encontrado
Equivalente de folato,mcg,"18,7","37,5","24,4",BRC0895F,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0895F,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0895F,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0895F,Nome não encontrado
Proteína animal,g,-,-,-,BRC0895F,Nome não encontrado
