componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),codigo_alimento,nome_alimento
Energia,kJ,643,385,257,BRC0871B,Nome não encontrado
Energia,kcal,153,91,61,BRC0871B,Nome não encontrado
Umidade,g,"66,2","39,7","26,5",BRC0871B,Nome não encontrado
Carboidrato total,g,"28,2","16,9","11,3",BRC0871B,Nome não encontrado
Carboidrato disponível,g,"26,5","15,9","10,6",BRC0871B,Nome não encontrado
Proteína,g,"0,67","0,40","0,27",BRC0871B,Nome não encontrado
Lipídios,g,"4,54","2,72","1,82",BRC0871B,Nome não encontrado
Fibra alimentar,g,"1,74","1,05","0,70",BRC0871B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00",BRC0871B,Nome não encontrado
Cinzas,g,"0,44","0,26","0,17",BRC0871B,Nome não encontrado
Colesterol,mg,"10,7","6,42","4,28",BRC0871B,Nome não encontrado
Ácidos graxos saturados,g,"2,65","1,59","1,06",BRC0871B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,17","0,70","0,47",BRC0871B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,09","0,06",BRC0871B,Nome não encontrado
Ácidos graxos trans,g,"0,14","0,08","0,06",BRC0871B,Nome não encontrado
Cálcio,mg,"20,2","12,1","8,07",BRC0871B,Nome não encontrado
Ferro,mg,"0,12","0,07","0,05",BRC0871B,Nome não encontrado
Sódio,mg,"1,10","0,66","0,44",BRC0871B,Nome não encontrado
Magnésio,mg,"25,6","15,4","10,3",BRC0871B,Nome não encontrado
Fósforo,mg,"22,1","13,2","8,83",BRC0871B,Nome não encontrado
Potássio,mg,100,"60,4","40,3",BRC0871B,Nome não encontrado
Manganês,mg,"0,10","0,06","0,04",BRC0871B,Nome não encontrado
Zinco,mg,"0,18","0,11","0,07",BRC0871B,Nome não encontrado
Cobre,mg,"0,02","0,01","0,01",BRC0871B,Nome não encontrado
Selênio,mcg,"0,52","0,31","0,21",BRC0871B,Nome não encontrado
Vitamina A (RE),mcg,"66,1","39,6","26,4",BRC0871B,Nome não encontrado
Vitamina A (RAE),mcg,"58,4","35,1","23,4",BRC0871B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00",BRC0871B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,28","0,17","0,11",BRC0871B,Nome não encontrado
Tiamina,mg,"0,06","0,03","0,02",BRC0871B,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00",BRC0871B,Nome não encontrado
Niacina,mg,"0,01","0,01","0,00",BRC0871B,Nome não encontrado
Vitamina B6,mg,"0,03","0,02","0,01",BRC0871B,Nome não encontrado
Vitamina B12,mcg,"0,01","0,01","0,00",BRC0871B,Nome não encontrado
Vitamina C,mg,"10,6","6,36","4,24",BRC0871B,Nome não encontrado
Equivalente de folato,mcg,"10,9","6,55","4,37",BRC0871B,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00",BRC0871B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00",BRC0871B,Nome não encontrado
Gordura de adição,g,-,-,-,BRC0871B,Nome não encontrado
Proteína vegetal,g,-,-,-,BRC0871B,Nome não encontrado
Proteína animal,g,-,-,-,BRC0871B,Nome não encontrado
