componente,unidade,Valor por 100g,codigo_alimento,nome_alimento
Energia,kJ,830,BRC0281T,Nome não encontrado
Energia,kcal,199,BRC0281T,Nome não encontrado
Umidade,g,"56,8",BRC0281T,Nome não encontrado
Carboidrato total,g,"25,1",BRC0281T,Nome não encontrado
Carboidrato disponível,g,"17,8",BRC0281T,Nome não encontrado
Proteína,g,"7,59",BRC0281T,Nome não encontrado
Lipídios,g,"9,18",BRC0281T,Nome não encontrado
Fibra alimentar,g,"7,30",BRC0281T,Nome não encontrado
Álcool,g,"0,00",BRC0281T,Nome não encontrado
Cinzas,g,"1,32",BRC0281T,Nome não encontrado
Colesterol,mg,"39,7",BRC0281T,Nome não encontrado
Ácidos graxos saturados,g,"1,57",BRC0281T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"2,30",BRC0281T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"4,99",BRC0281T,Nome não encontrado
Ácidos graxos trans,g,"0,05",BRC0281T,Nome não encontrado
Cálcio,mg,"26,1",BRC0281T,Nome não encontrado
Ferro,mg,"2,38",BRC0281T,Nome não encontrado
Sódio,mg,179,BRC0281T,Nome não encontrado
Magnésio,mg,"38,0",BRC0281T,Nome não encontrado
Fósforo,mg,150,BRC0281T,Nome não encontrado
Potássio,mg,261,BRC0281T,Nome não encontrado
Manganês,mg,"0,48",BRC0281T,Nome não encontrado
Zinco,mg,"1,23",BRC0281T,Nome não encontrado
Cobre,mg,"0,20",BRC0281T,Nome não encontrado
Selênio,mcg,"7,40",BRC0281T,Nome não encontrado
Vitamina A (RE),mcg,"40,4",BRC0281T,Nome não encontrado
Vitamina A (RAE),mcg,"28,9",BRC0281T,Nome não encontrado
Vitamina D,mcg,"0,21",BRC0281T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,56",BRC0281T,Nome não encontrado
Tiamina,mg,"0,22",BRC0281T,Nome não encontrado
Riboflavina,mg,"0,11",BRC0281T,Nome não encontrado
Niacina,mg,"0,90",BRC0281T,Nome não encontrado
Vitamina B6,mg,"0,05",BRC0281T,Nome não encontrado
Vitamina B12,mcg,"0,09",BRC0281T,Nome não encontrado
Vitamina C,mg,"7,59",BRC0281T,Nome não encontrado
Equivalente de folato,mcg,104,BRC0281T,Nome não encontrado
Sal de adição,g,,BRC0281T,Nome não encontrado
Açúcar de adição,g,,BRC0281T,Nome não encontrado
Gordura de adição,g,-,BRC0281T,Nome não encontrado
Proteína vegetal,g,-,BRC0281T,Nome não encontrado
Proteína animal,g,-,BRC0281T,Nome não encontrado
