componente,unidade,Valor por 100g,Xícara chá (30 g),codigo_alimento,nome_alimento
Energia,kJ,96,28,BRC0072B,Nome não encontrado
Energia,kcal,23,6,BRC0072B,Nome não encontrado
Umidade,g,"92,0","27,6",BRC0072B,Nome não encontrado
Carboidrato total,g,"4,17","1,25",BRC0072B,Nome não encontrado
Carboidrato disponível,g,"1,34","0,40",BRC0072B,Nome não encontrado
Proteína,g,"2,24","0,67",BRC0072B,Nome não encontrado
Lipídios,g,"0,35","0,11",BRC0072B,Nome não encontrado
Fibra alimentar,g,"2,83","0,85",BRC0072B,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0072B,Nome não encontrado
Cinzas,g,"1,29","0,39",BRC0072B,Nome não encontrado
Colesterol,mg,"0,00","0,00",BRC0072B,Nome não encontrado
Ácidos graxos saturados,g,"0,06","0,02",BRC0072B,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,01","0,00",BRC0072B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,04",BRC0072B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0072B,Nome não encontrado
Cálcio,mg,"91,2","27,3",BRC0072B,Nome não encontrado
Ferro,mg,"0,48","0,14",BRC0072B,Nome não encontrado
Sódio,mg,"23,0","6,91",BRC0072B,Nome não encontrado
Magnésio,mg,"72,0","21,6",BRC0072B,Nome não encontrado
Fósforo,mg,"34,3","10,3",BRC0072B,Nome não encontrado
Potássio,mg,452,135,BRC0072B,Nome não encontrado
Manganês,mg,"0,96","0,29",BRC0072B,Nome não encontrado
Zinco,mg,"0,31","0,09",BRC0072B,Nome não encontrado
Cobre,mg,"0,10","0,03",BRC0072B,Nome não encontrado
Selênio,mcg,"0,10","0,03",BRC0072B,Nome não encontrado
Vitamina A (RE),mcg,287,"86,2",BRC0072B,Nome não encontrado
Vitamina A (RAE),mcg,143,"43,1",BRC0072B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0072B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"1,83","0,55",BRC0072B,Nome não encontrado
Tiamina,mg,"0,13","0,04",BRC0072B,Nome não encontrado
Riboflavina,mg,"0,28","0,08",BRC0072B,Nome não encontrado
Niacina,mg,traços,traços,BRC0072B,Nome não encontrado
Vitamina B6,mg,"0,08","0,02",BRC0072B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00",BRC0072B,Nome não encontrado
Vitamina C,mg,"3,26","0,98",BRC0072B,Nome não encontrado
Equivalente de folato,mcg,181,"54,4",BRC0072B,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0072B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0072B,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0072B,Nome não encontrado
Proteína vegetal,g,"2,24","0,67",BRC0072B,Nome não encontrado
Proteína animal,g,"0,00","0,00",BRC0072B,Nome não encontrado
