componente,unidade,Valor por 100g,Colher servir cheia (35 g),Colher sopa cheia (27 g),Concha cheia (85 g),codigo_alimento,nome_alimento
Energia,kJ,455,159,122,386,BRC0077T,Nome não encontrado
Energia,kcal,108,37,29,91,BRC0077T,Nome não encontrado
Umidade,g,"71,3","25,0","19,3","60,6",BRC0077T,Nome não encontrado
Carboidrato total,g,"19,4","6,79","5,24","16,5",BRC0077T,Nome não encontrado
Carboidrato disponível,g,"13,1","4,59","3,54","11,1",BRC0077T,Nome não encontrado
Proteína,g,"7,09","2,48","1,91","6,03",BRC0077T,Nome não encontrado
Lipídios,g,"1,65","0,58","0,45","1,40",BRC0077T,Nome não encontrado
Fibra alimentar,g,"6,25","2,19","1,69","5,31",BRC0077T,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Cinzas,g,"0,69","0,24","0,19","0,59",BRC0077T,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Ácidos graxos saturados,g,"0,27","0,09","0,07","0,23",BRC0077T,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,37","0,13","0,10","0,31",BRC0077T,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,97","0,34","0,26","0,82",BRC0077T,Nome não encontrado
Ácidos graxos trans,g,"0,01","0,00","0,00","0,01",BRC0077T,Nome não encontrado
Cálcio,mg,"18,9","6,62","5,10","16,1",BRC0077T,Nome não encontrado
Ferro,mg,"1,68","0,59","0,45","1,43",BRC0077T,Nome não encontrado
Sódio,mg,"1,41","0,49","0,38","1,20",BRC0077T,Nome não encontrado
Magnésio,mg,"25,1","8,79","6,78","21,3",BRC0077T,Nome não encontrado
Fósforo,mg,120,"42,0","32,4",102,BRC0077T,Nome não encontrado
Potássio,mg,260,"91,0","70,2",221,BRC0077T,Nome não encontrado
Manganês,mg,"0,33","0,12","0,09","0,28",BRC0077T,Nome não encontrado
Zinco,mg,"1,28","0,45","0,35","1,09",BRC0077T,Nome não encontrado
Cobre,mg,"0,21","0,07","0,06","0,18",BRC0077T,Nome não encontrado
Selênio,mcg,"0,06","0,02","0,02","0,05",BRC0077T,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,BRC0077T,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,BRC0077T,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,17","0,06","0,05","0,14",BRC0077T,Nome não encontrado
Tiamina,mg,"0,04","0,01","0,01","0,03",BRC0077T,Nome não encontrado
Riboflavina,mg,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Niacina,mg,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Vitamina B6,mg,"0,01","0,00","0,00","0,01",BRC0077T,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Vitamina C,mg,"0,42","0,15","0,11","0,36",BRC0077T,Nome não encontrado
Equivalente de folato,mcg,159,"55,7","42,9",135,BRC0077T,Nome não encontrado
Sal de adição,g,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
Gordura de adição,g,"1,20","0,42","0,32","1,02",BRC0077T,Nome não encontrado
Proteína vegetal,g,"7,09","2,48","1,91","6,03",BRC0077T,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00",BRC0077T,Nome não encontrado
