componente,unidade,Valor por 100g,Porção Média (120 g),codigo_alimento,nome_alimento
Energia,kJ,515,618,BRC0140F,Nome não encontrado
Energia,kcal,123,147,BRC0140F,Nome não encontrado
Umidade,g,"74,3","89,2",BRC0140F,Nome não encontrado
Carboidrato total,g,"0,02","0,02",BRC0140F,Nome não encontrado
Carboidrato disponível,g,"0,02","0,02",BRC0140F,Nome não encontrado
Proteína,g,"20,5","24,6",BRC0140F,Nome não encontrado
Lipídios,g,"4,50","5,40",BRC0140F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0140F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0140F,Nome não encontrado
Cinzas,g,"0,70","0,84",BRC0140F,Nome não encontrado
Colesterol,mg,"24,2","29,1",BRC0140F,Nome não encontrado
Ácidos graxos saturados,g,"1,96","2,35",BRC0140F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,85","2,22",BRC0140F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,36","0,43",BRC0140F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0140F,Nome não encontrado
Cálcio,mg,"10,5","12,6",BRC0140F,Nome não encontrado
Ferro,mg,"2,81","3,37",BRC0140F,Nome não encontrado
Sódio,mg,"67,5","81,0",BRC0140F,Nome não encontrado
Magnésio,mg,"17,1","20,6",BRC0140F,Nome não encontrado
Fósforo,mg,132,158,BRC0140F,Nome não encontrado
Potássio,mg,166,200,BRC0140F,Nome não encontrado
Manganês,mg,,,BRC0140F,Nome não encontrado
Zinco,mg,"4,07","4,88",BRC0140F,Nome não encontrado
Cobre,mg,,,BRC0140F,Nome não encontrado
Selênio,mcg,,,BRC0140F,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00",BRC0140F,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00",BRC0140F,Nome não encontrado
Vitamina D,mcg,,,BRC0140F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,08","0,10",BRC0140F,Nome não encontrado
Tiamina,mg,"0,08","0,09",BRC0140F,Nome não encontrado
Riboflavina,mg,"0,15","0,18",BRC0140F,Nome não encontrado
Niacina,mg,"4,26","5,11",BRC0140F,Nome não encontrado
Vitamina B6,mg,"0,12","0,14",BRC0140F,Nome não encontrado
Vitamina B12,mcg,"1,82","2,19",BRC0140F,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0140F,Nome não encontrado
Equivalente de folato,mcg,"14,8","17,8",BRC0140F,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0140F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0140F,Nome não encontrado
Gordura de adição,g,"0,00","0,00",BRC0140F,Nome não encontrado
Proteína vegetal,g,"0,00","0,00",BRC0140F,Nome não encontrado
Proteína animal,g,"20,5","24,6",BRC0140F,Nome não encontrado
