componente,unidade,Valor por 100g,Colher sobremesa cheia (8 g),Colher sobremesa rasa (5 g),Colher sopa cheia (15 g),Colher sopa rasa (11 g),codigo_alimento,nome_alimento
Energia,kJ,394,31,19,59,43,BRC0050L,Nome não encontrado
Energia,kcal,93,7,4,13,10,BRC0050L,Nome não encontrado
Umidade,g,"76,5","6,12","3,82","11,5","8,41",BRC0050L,Nome não encontrado
Carboidrato total,g,"22,7","1,82","1,13","3,40","2,50",BRC0050L,Nome não encontrado
Carboidrato disponível,g,"22,7","1,82","1,13","3,40","2,50",BRC0050L,Nome não encontrado
Proteína,g,"0,49","0,04","0,02","0,07","0,05",BRC0050L,Nome não encontrado
Lipídios,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Fibra alimentar,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Cinzas,g,"0,37","0,03","0,02","0,06","0,04",BRC0050L,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Ácidos graxos saturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Cálcio,mg,"27,0","2,16","1,35","4,05","2,97",BRC0050L,Nome não encontrado
Ferro,mg,"0,72","0,06","0,04","0,11","0,08",BRC0050L,Nome não encontrado
Sódio,mg,"23,0","1,84","1,15","3,45","2,53",BRC0050L,Nome não encontrado
Magnésio,mg,"12,0","0,96","0,60","1,80","1,32",BRC0050L,Nome não encontrado
Fósforo,mg,"19,0","1,52","0,95","2,85","2,09",BRC0050L,Nome não encontrado
Potássio,mg,112,"8,96","5,60","16,8","12,3",BRC0050L,Nome não encontrado
Manganês,mg,"0,13","0,01","0,01","0,02","0,01",BRC0050L,Nome não encontrado
Zinco,mg,"0,08","0,01","0,00","0,01","0,01",BRC0050L,Nome não encontrado
Cobre,mg,"0,03","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Selênio,mcg,,,,,,BRC0050L,Nome não encontrado
Vitamina A (RE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Vitamina A (RAE),mcg,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Vitamina D,mcg,,,,,,BRC0050L,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,,,,,,BRC0050L,Nome não encontrado
Tiamina,mg,,,,,,BRC0050L,Nome não encontrado
Riboflavina,mg,,,,,,BRC0050L,Nome não encontrado
Niacina,mg,,,,,,BRC0050L,Nome não encontrado
Vitamina B6,mg,,,,,,BRC0050L,Nome não encontrado
Vitamina B12,mcg,,,,,,BRC0050L,Nome não encontrado
Vitamina C,mg,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Equivalente de folato,mcg,,,,,,BRC0050L,Nome não encontrado
Sal de adição,g,,,,,,BRC0050L,Nome não encontrado
Açúcar de adição,g,,,,,,BRC0050L,Nome não encontrado
Gordura de adição,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
Proteína vegetal,g,"0,49","0,04","0,02","0,07","0,05",BRC0050L,Nome não encontrado
Proteína animal,g,"0,00","0,00","0,00","0,00","0,00",BRC0050L,Nome não encontrado
