componente,unidade,Valor por 100g,Colher sopa cheia (25 g),codigo_alimento,nome_alimento
Energia,kJ,536,133,BRC0840F,Nome não encontrado
Energia,kcal,126,31,BRC0840F,Nome não encontrado
Umidade,g,"68,3","17,1",BRC0840F,Nome não encontrado
Carboidrato total,g,"0,92","0,23",BRC0840F,Nome não encontrado
Carboidrato disponível,g,"0,92","0,23",BRC0840F,Nome não encontrado
Proteína,g,"28,7","7,17",BRC0840F,Nome não encontrado
Lipídios,g,"0,88","0,22",BRC0840F,Nome não encontrado
Fibra alimentar,g,"0,00","0,00",BRC0840F,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0840F,Nome não encontrado
Cinzas,g,"1,20","0,30",BRC0840F,Nome não encontrado
Colesterol,mg,102,"25,5",BRC0840F,Nome não encontrado
Ácidos graxos saturados,g,"0,23","0,06",BRC0840F,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,22","0,05",BRC0840F,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,15","0,04",BRC0840F,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0840F,Nome não encontrado
Cálcio,mg,"16,7","4,18",BRC0840F,Nome não encontrado
Ferro,mg,"3,76","0,94",BRC0840F,Nome não encontrado
Sódio,mg,283,"71,0",BRC0840F,Nome não encontrado
Magnésio,mg,"22,7","5,67",BRC0840F,Nome não encontrado
Fósforo,mg,223,"55,9",BRC0840F,Nome não encontrado
Potássio,mg,358,"89,5",BRC0840F,Nome não encontrado
Manganês,mg,,,BRC0840F,Nome não encontrado
Zinco,mg,"4,11","1,03",BRC0840F,Nome não encontrado
Cobre,mg,"0,00","0,00",BRC0840F,Nome não encontrado
Selênio,mcg,,,BRC0840F,Nome não encontrado
Vitamina A (RE),mcg,,,BRC0840F,Nome não encontrado
Vitamina A (RAE),mcg,,,BRC0840F,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0840F,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,14","0,04",BRC0840F,Nome não encontrado
Tiamina,mg,"0,04","0,01",BRC0840F,Nome não encontrado
Riboflavina,mg,"0,35","0,09",BRC0840F,Nome não encontrado
Niacina,mg,"5,56","1,39",BRC0840F,Nome não encontrado
Vitamina B6,mg,"0,00","0,00",BRC0840F,Nome não encontrado
Vitamina B12,mcg,"1,83","0,46",BRC0840F,Nome não encontrado
Vitamina C,mg,"5,59","1,40",BRC0840F,Nome não encontrado
Equivalente de folato,mcg,"7,55","1,89",BRC0840F,Nome não encontrado
Sal de adição,g,"0,45","0,11",BRC0840F,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0840F,Nome não encontrado
Gordura de adição,g,-,-,BRC0840F,Nome não encontrado
Proteína vegetal,g,-,-,BRC0840F,Nome não encontrado
Proteína animal,g,-,-,BRC0840F,Nome não encontrado
