componente,unidade,Valor por 100g,Colher servir cheia (60 g),Colher servir rasa (40 g),Colher sopa cheia (30 g),Escumadeira cheia (80 g),Escumadeira rasa (50 g),codigo_alimento,nome_alimento
Energia,kJ,220,132,88,66,176,110,BRC0117B,Nome não encontrado
Energia,kcal,52,31,20,15,41,25,BRC0117B,Nome não encontrado
Umidade,g,"85,5","51,3","34,2","25,6","68,4","42,7",BRC0117B,Nome não encontrado
Carboidrato total,g,"12,2","7,34","4,89","3,67","9,78","6,11",BRC0117B,Nome não encontrado
Carboidrato disponível,g,"10,8","6,46","4,30","3,23","8,61","5,38",BRC0117B,Nome não encontrado
Proteína,g,"1,33","0,80","0,53","0,40","1,06","0,66",BRC0117B,Nome não encontrado
Lipídios,g,"0,05","0,03","0,02","0,02","0,04","0,03",BRC0117B,Nome não encontrado
Fibra alimentar,g,"1,47","0,88","0,59","0,44","1,17","0,73",BRC0117B,Nome não encontrado
Álcool,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Cinzas,g,"0,92","0,55","0,37","0,28","0,74","0,46",BRC0117B,Nome não encontrado
Colesterol,mg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Ácidos graxos saturados,g,"0,01","0,01","0,01","0,00","0,01","0,01",BRC0117B,Nome não encontrado
Ácidos graxos monoinsaturados,g,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,02","0,01","0,01","0,01","0,02","0,01",BRC0117B,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Cálcio,mg,"3,74","2,24","1,50","1,12","2,99","1,87",BRC0117B,Nome não encontrado
Ferro,mg,"0,20","0,12","0,08","0,06","0,16","0,10",BRC0117B,Nome não encontrado
Sódio,mg,190,114,"76,0","57,0",152,"95,0",BRC0117B,Nome não encontrado
Magnésio,mg,"5,59","3,36","2,24","1,68","4,48","2,80",BRC0117B,Nome não encontrado
Fósforo,mg,"25,1","15,0","10,0","7,52","20,1","12,5",BRC0117B,Nome não encontrado
Potássio,mg,231,138,"92,5","69,4",184,115,BRC0117B,Nome não encontrado
Manganês,mg,"0,07","0,04","0,03","0,02","0,06","0,03",BRC0117B,Nome não encontrado
Zinco,mg,"0,19","0,12","0,08","0,06","0,16","0,10",BRC0117B,Nome não encontrado
Cobre,mg,"0,06","0,04","0,02","0,02","0,05","0,03",BRC0117B,Nome não encontrado
Selênio,mcg,"0,20","0,12","0,08","0,06","0,16","0,10",BRC0117B,Nome não encontrado
Vitamina A (RE),mcg,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Vitamina A (RAE),mcg,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Vitamina D,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Tiamina,mg,"0,05","0,03","0,02","0,02","0,04","0,03",BRC0117B,Nome não encontrado
Riboflavina,mg,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Niacina,mg,traços,traços,traços,traços,traços,traços,BRC0117B,Nome não encontrado
Vitamina B6,mg,"0,09","0,05","0,03","0,03","0,07","0,04",BRC0117B,Nome não encontrado
Vitamina B12,mcg,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Vitamina C,mg,"3,87","2,32","1,55","1,16","3,10","1,94",BRC0117B,Nome não encontrado
Equivalente de folato,mcg,"5,64","3,38","2,26","1,69","4,51","2,82",BRC0117B,Nome não encontrado
Sal de adição,g,"0,32","0,19","0,13","0,10","0,26","0,16",BRC0117B,Nome não encontrado
Açúcar de adição,g,"0,00","0,00","0,00","0,00","0,00","0,00",BRC0117B,Nome não encontrado
Gordura de adição,g,-,-,-,-,-,-,BRC0117B,Nome não encontrado
Proteína vegetal,g,-,-,-,-,-,-,BRC0117B,Nome não encontrado
Proteína animal,g,-,-,-,-,-,-,BRC0117B,Nome não encontrado
