componente,unidade,Valor por 100g,Xícara chá (200 mL),codigo_alimento,nome_alimento
Energia,kJ,148,296,BRC0099H,Nome não encontrado
Energia,kcal,35,70,BRC0099H,Nome não encontrado
Umidade,g,"92,8",185,BRC0099H,Nome não encontrado
Carboidrato total,g,"3,54","7,08",BRC0099H,Nome não encontrado
Carboidrato disponível,g,"3,20","6,40",BRC0099H,Nome não encontrado
Proteína,g,"1,55","3,10",BRC0099H,Nome não encontrado
Lipídios,g,"1,75","3,49",BRC0099H,Nome não encontrado
Fibra alimentar,g,"0,35","0,69",BRC0099H,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0099H,Nome não encontrado
Cinzas,g,"0,34","0,68",BRC0099H,Nome não encontrado
Colesterol,mg,"6,19","12,4",BRC0099H,Nome não encontrado
Ácidos graxos saturados,g,"1,05","2,10",BRC0099H,Nome não encontrado
Ácidos graxos monoinsaturados,g,"0,48","0,95",BRC0099H,Nome não encontrado
Ácidos graxos poliinsaturados,g,"0,11","0,21",BRC0099H,Nome não encontrado
Ácidos graxos trans,g,"0,00","0,00",BRC0099H,Nome não encontrado
Cálcio,mg,"54,7",109,BRC0099H,Nome não encontrado
Ferro,mg,"0,07","0,14",BRC0099H,Nome não encontrado
Sódio,mg,"32,5","65,0",BRC0099H,Nome não encontrado
Magnésio,mg,"6,86","13,7",BRC0099H,Nome não encontrado
Fósforo,mg,"42,3","84,7",BRC0099H,Nome não encontrado
Potássio,mg,"83,5",166,BRC0099H,Nome não encontrado
Manganês,mg,"0,02","0,04",BRC0099H,Nome não encontrado
Zinco,mg,"0,20","0,40",BRC0099H,Nome não encontrado
Cobre,mg,"0,02","0,03",BRC0099H,Nome não encontrado
Selênio,mcg,,,BRC0099H,Nome não encontrado
Vitamina A (RE),mcg,"24,8","49,6",BRC0099H,Nome não encontrado
Vitamina A (RAE),mcg,"24,4","48,8",BRC0099H,Nome não encontrado
Vitamina D,mcg,"0,00","0,00",BRC0099H,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,04","0,08",BRC0099H,Nome não encontrado
Tiamina,mg,"0,02","0,04",BRC0099H,Nome não encontrado
Riboflavina,mg,"0,12","0,24",BRC0099H,Nome não encontrado
Niacina,mg,"0,84","1,69",BRC0099H,Nome não encontrado
Vitamina B6,mg,traços,,BRC0099H,Nome não encontrado
Vitamina B12,mcg,"0,19","0,37",BRC0099H,Nome não encontrado
Vitamina C,mg,"0,00","0,00",BRC0099H,Nome não encontrado
Equivalente de folato,mcg,"2,59","5,18",BRC0099H,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0099H,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0099H,Nome não encontrado
Gordura de adição,g,-,-,BRC0099H,Nome não encontrado
Proteína vegetal,g,-,-,BRC0099H,Nome não encontrado
Proteína animal,g,-,-,BRC0099H,Nome não encontrado
