componente,unidade,Valor por 100g,Colher servir cheia (55 g),codigo_alimento,nome_alimento
Energia,kJ,480,263,BRC0486N,Nome não encontrado
Energia,kcal,114,62,BRC0486N,Nome não encontrado
Umidade,g,"76,1","41,8",BRC0486N,Nome não encontrado
Carboidrato total,g,"5,35","2,94",BRC0486N,Nome não encontrado
Carboidrato disponível,g,"4,43","2,44",BRC0486N,Nome não encontrado
Proteína,g,"13,2","7,25",BRC0486N,Nome não encontrado
Lipídios,g,"4,67","2,57",BRC0486N,Nome não encontrado
Fibra alimentar,g,"0,92","0,51",BRC0486N,Nome não encontrado
Álcool,g,"0,00","0,00",BRC0486N,Nome não encontrado
Cinzas,g,"0,74","0,41",BRC0486N,Nome não encontrado
Colesterol,mg,"44,7","24,6",BRC0486N,Nome não encontrado
Ácidos graxos saturados,g,"1,42","0,78",BRC0486N,Nome não encontrado
Ácidos graxos monoinsaturados,g,"1,57","0,86",BRC0486N,Nome não encontrado
Ácidos graxos poliinsaturados,g,"1,33","0,73",BRC0486N,Nome não encontrado
Ácidos graxos trans,g,"0,05","0,03",BRC0486N,Nome não encontrado
Cálcio,mg,"9,03","4,97",BRC0486N,Nome não encontrado
Ferro,mg,"1,21","0,66",BRC0486N,Nome não encontrado
Sódio,mg,"23,0","12,7",BRC0486N,Nome não encontrado
Magnésio,mg,"13,8","7,61",BRC0486N,Nome não encontrado
Fósforo,mg,114,"63,1",BRC0486N,Nome não encontrado
Potássio,mg,260,143,BRC0486N,Nome não encontrado
Manganês,mg,"0,07","0,04",BRC0486N,Nome não encontrado
Zinco,mg,"2,96","1,63",BRC0486N,Nome não encontrado
Cobre,mg,"0,09","0,05",BRC0486N,Nome não encontrado
Selênio,mcg,"0,23","0,13",BRC0486N,Nome não encontrado
Vitamina A (RE),mcg,149,"82,0",BRC0486N,Nome não encontrado
Vitamina A (RAE),mcg,"74,7","41,1",BRC0486N,Nome não encontrado
Vitamina D,mcg,,,BRC0486N,Nome não encontrado
Alfa-tocoferol (Vitamina E),mg,"0,37","0,21",BRC0486N,Nome não encontrado
Tiamina,mg,"0,04","0,02",BRC0486N,Nome não encontrado
Riboflavina,mg,traços,traços,BRC0486N,Nome não encontrado
Niacina,mg,"1,87","1,03",BRC0486N,Nome não encontrado
Vitamina B6,mg,"0,02","0,01",BRC0486N,Nome não encontrado
Vitamina B12,mcg,"1,47","0,81",BRC0486N,Nome não encontrado
Vitamina C,mg,"3,69","2,03",BRC0486N,Nome não encontrado
Equivalente de folato,mcg,"8,60","4,73",BRC0486N,Nome não encontrado
Sal de adição,g,"0,00","0,00",BRC0486N,Nome não encontrado
Açúcar de adição,g,"0,00","0,00",BRC0486N,Nome não encontrado
Gordura de adição,g,-,-,BRC0486N,Nome não encontrado
Proteína vegetal,g,-,-,BRC0486N,Nome não encontrado
Proteína animal,g,-,-,BRC0486N,Nome não encontrado
